subpopulation,season,mean.lift,sd.lift,lcl,ucl,min,max
Balkans,fall,0.983901344025784,0.869744021004963,0.0235904653806695,1.75973349716621,0,3.33494067380591
Balkans,spring,1.07466094983599,0.935460531204371,0,1.87514304300618,0,3.62530521403207
Caucasus,fall,1.04544572042072,0.840857076328317,0.176765265131891,1.75531650335138,0,3.17479374952807
Caucasus,spring,1.26195229295247,0.822012937445027,0.455311109205708,1.83253736274977,0,3.47661153718136
West,fall,0.658609347933097,0.900500195560279,0,1.55705940974586,0,3.63995535658915
West,spring,0.293191725939652,0.695082032701051,0,1.05301862075014,0,3.61888033448347
