id.yr.season,start_mig_EXP,end_mig_EXP,study,tag,id,N_locs,start_mig,end_mig,START_DIFF,END_DIFF
Agri_2014_spring,2014-03-21T02:00:00Z,2014-04-07T15:00:00Z,buechley-mideast,130662,Agri,2142,2014-03-21T00:00:00Z,2014-04-13T20:46:02.835317Z,0.0833333333333333,-5.33333333333333
Aras_2012_fall,2012-09-04T20:00:00Z,2012-09-23T18:00:00Z,buechley-mideast,118176,Aras,1396,2012-09-05T19:22:23.510835Z,2012-12-29T19:00:00Z,-0.125,-96.25
Arda_2012_fall,2012-09-20T13:00:00Z,2012-10-14T15:00:00Z,oppel-balkans,118147,Arda,1407,2012-09-21T05:00:00Z,2012-10-28T22:00:00Z,-0.416666666666667,-13.3333333333333
Ardahan_2013_fall,2013-08-22T10:00:00Z,2013-09-16T12:00:00Z,buechley-mideast,210,Ardahan,3998,2013-07-02T00:00:00Z,2013-09-19T08:32:34.133060Z,51.4583333333333,-2.45833333333333
Ardahan_2014_spring,2014-04-10T07:24:00Z,2014-04-29T17:00:00Z,buechley-mideast,210,Ardahan,3972,2014-01-02T00:00:00Z,2014-05-08T12:54:50.831921Z,98.3083333333333,-8.25
Batuecasa_2017_fall,2017-09-13T00:00:00Z,2017-09-25T00:00:00Z,douro-spain,17020,Batuecasa,3485,2017-09-03T20:14:56.495026Z,2017-11-01T23:00:00Z,10.0416666666667,-37
Batuecasa_2018_fall,2018-09-21T00:00:00Z,2018-09-30T00:00:00Z,douro-spain,17020,Batuecasa,2351,2018-09-21T06:00:00Z,2018-10-01T05:29:28.804282Z,0.0416666666666667,-0.958333333333333
Batuecasa_2018_spring,2018-02-14T00:00:00Z,2018-03-07T00:00:00Z,douro-spain,17020,Batuecasa,2774,2018-01-18T02:00:00Z,2018-03-08T20:34:26.373644Z,27,-1
Bruco_2017_fall,2017-09-06T00:00:00Z,2017-09-22T00:00:00Z,life.rupis-spain,48505470927,Bruco,1481,2017-09-01T17:20:21.412654Z,2017-10-05T20:00:00Z,5.04166666666667,-12.9583333333333
Cabuk_2014_fall,2014-09-08T11:00:00Z,2014-09-21T13:00:00Z,buechley-mideast,132087,Cabuk,1521,2014-09-05T10:06:25.777872Z,2014-11-10T20:00:00Z,3.5,-49.4583333333333
Castor_2014_fall,2014-08-22T11:00:00Z,2014-09-17T22:00:00Z,oppel-balkans,135955,Castor,2157,2014-08-22T05:00:00Z,2014-10-05T22:00:00Z,0.5,-17.0416666666667
Dobromir_2012_fall,2012-09-08T11:00:00Z,2012-10-31T20:00:00Z,oppel-balkans,118150,Dobromir,1489,2012-08-18T21:00:00Z,2012-12-03T05:32:41.965282Z,21.5,-32.1666666666667
Dobromir_2014_fall,2014-07-30T15:00:00Z,2014-10-02T22:00:00Z,oppel-balkans,118150,Dobromir,2173,2014-08-05T07:00:00Z,2014-10-13T09:43:41.736814Z,-5.33333333333333,-10.0416666666667
Dobromir_2014_spring,2014-04-18T11:00:00Z,2014-05-31T22:00:00Z,oppel-balkans,118150,Dobromir,2125,2014-03-08T04:00:00Z,2014-06-25T23:00:00Z,41.4583333333333,-24.0416666666667
Douro_2017_fall,2017-08-28T00:00:00Z,2017-09-09T00:00:00Z,life.rupis-spain,48797733050,Douro,1406,2017-08-25T11:43:02.116403Z,2017-09-15T07:35:26.129549Z,3.04166666666667,-5.95833333333333
Douro_2018_fall,2018-08-29T00:00:00Z,2018-09-17T00:00:00Z,life.rupis-spain,48797733050,Douro,1991,2018-08-25T07:00:00Z,2018-10-09T20:00:00Z,4.04166666666667,-21.9583333333333
Douro_2018_spring,2018-02-03T00:00:00Z,2018-02-25T00:00:00Z,life.rupis-spain,48797733050,Douro,1717,2018-01-24T06:00:00Z,2018-03-03T03:00:40.837082Z,10,-6
Faia_2017_fall,2017-08-23T00:00:00Z,2017-09-05T00:00:00Z,life.rupis-spain,48505476460,Faia,1956,2017-08-23T08:00:00Z,2017-12-31T17:00:00Z,0.0416666666666667,-117
Faia_2018_spring,2018-02-25T00:00:00Z,2018-03-17T00:00:00Z,life.rupis-spain,48505476460,Faia,1567,2018-02-10T07:00:00Z,2018-03-24T19:02:12.036965Z,15,-7
Haydi_2014_fall,2014-09-19T05:00:00Z,2014-10-29T06:00:00Z,buechley-mideast,132084,Haydi,1514,2014-09-04T04:48:55.173183Z,2014-11-10T06:01:07.584009Z,15.25,-11.75
Huebra_2017_fall,2017-09-20T00:00:00Z,2017-10-06T00:00:00Z,douro-spain,17021,Huebra,2586,2017-09-18T16:54:48.674196Z,2017-10-15T14:59:59.426723Z,2.04166666666667,-8.95833333333333
Huebra_2018_fall,2018-09-26T00:00:00Z,2018-10-16T00:00:00Z,douro-spain,17021,Huebra,2973,2018-09-26T00:43:46.750740Z,2018-10-28T22:44:23.793351Z,0.0416666666666667,-11.9583333333333
Huebra_2018_spring,2018-02-09T00:00:00Z,2018-02-26T00:00:00Z,douro-spain,17021,Huebra,2068,2018-02-02T06:00:00Z,2018-03-02T12:41:17.485715Z,7,-4
Igdir_2012_fall,2012-09-20T00:00:00Z,2012-10-11T12:00:00Z,buechley-mideast,118175,Igdir,1620,2012-09-18T23:07:34.603320Z,2012-10-12T14:45:40.711352Z,2.04166666666667,-0.458333333333333
Igdir_2013_fall,2013-09-25T08:00:00Z,2013-10-13T20:00:00Z,buechley-mideast,118175,Igdir,2123,2013-09-21T23:35:10.987513Z,2013-10-18T12:42:48.762518Z,4.375,-4.125
Igdir_2013_spring,2013-03-16T12:00:00Z,2013-04-03T17:00:00Z,buechley-mideast,118175,Igdir,1770,2013-03-16T16:23:40.746889Z,2013-04-09T03:54:49.824447Z,0.5,-5.25
Igdir_2014_fall,2014-10-06T15:00:00Z,2014-11-03T16:00:00Z,buechley-mideast,118175,Igdir,1894,2014-10-04T19:34:37.061982Z,2014-11-06T12:20:37.138621Z,2.66666666666667,-2.33333333333333
Igdir_2014_spring,2014-03-03T07:00:00Z,2014-03-22T13:00:00Z,buechley-mideast,118175,Igdir,1945,2014-02-28T14:58:20.434709Z,2014-03-30T07:23:49.788225Z,3.29166666666667,-7.45833333333333
Iliaz_2012_fall,2012-09-19T11:00:00Z,2012-10-16T14:00:00Z,oppel-balkans,118153,Iliaz,1322,2012-09-09T11:00:00Z,2012-12-31T23:00:00Z,10.5,-75.4166666666667
Iste_2014_fall,2014-09-19T11:00:00Z,2014-10-03T21:00:11Z,buechley-mideast,132086,Iste,1525,2014-09-17T10:58:07.571983Z,2014-10-07T06:53:36.564309Z,2.5,-3.08320601851852
Lazaros_2012_fall,2012-09-01T12:00:00Z,2012-09-22T14:00:00Z,oppel-balkans,108050,Lazaros,1784,2012-08-27T00:05:38.997667Z,2012-09-28T23:09:00.760108Z,5.54166666666667,-5.375
Levkipos_2012_fall,2012-09-10T11:47:00Z,2012-10-14T16:00:00Z,oppel-balkans,118146,Levkipos,1440,2012-09-09T07:00:00Z,2012-11-03T17:58:14.804725Z,1.53263888888889,-19.3333333333333
Logiya_2014_fall,2014-08-23T04:00:00Z,2014-09-10T14:00:00Z,buechley-mideast,118174,Logiya,1578,2014-07-10T12:00:00Z,2014-09-14T17:49:12.431775Z,44.2083333333333,-3.375
Logiya_2014_spring,2014-05-20T18:00:00Z,2014-06-15T07:00:00Z,buechley-mideast,118174,Logiya,2178,2014-05-13T11:44:31.101679Z,2014-06-21T19:08:59.569175Z,7.79166666666667,-5.66666666666667
Paschalis_2013_fall,2013-09-08T11:00:00Z,2013-09-26T00:00:00Z,oppel-balkans,130670,Paschalis,1527,2013-09-06T14:42:15.923345Z,2013-10-08T22:00:00Z,2.5,-11.9583333333333
Poiares_2017_fall,2017-09-22T00:00:00Z,2017-10-06T00:00:00Z,life.rupis-spain,48797733001,Poiares,1052,2017-09-13T15:05:40.846448Z,2017-10-25T09:09:40.688691Z,9.04166666666667,-18.9583333333333
Rupis_2017_fall,2017-09-14T00:00:00Z,2017-09-29T00:00:00Z,life.rupis-spain,48511694900,Rupis,1264,2017-09-10T10:28:38.137622Z,2017-10-04T04:09:04.781487Z,4.04166666666667,-4.95833333333333
Rupis_2018_fall,2018-09-22T00:00:00Z,2018-10-13T00:00:00Z,life.rupis-spain,48511694900,Rupis,1575,2018-09-22T07:00:00Z,2018-10-15T15:46:02.393334Z,0.0416666666666667,-1.95833333333333
Rupis_2018_spring,2018-03-19T00:00:00Z,2018-04-01T00:00:00Z,life.rupis-spain,48511694900,Rupis,1257,2018-03-11T06:00:00Z,2018-04-05T23:00:17.119337Z,8,-3.95833333333333
Sanie_2013_fall,2013-09-18T09:00:00Z,2013-10-09T18:00:00Z,oppel-balkans,131249,Sanie,1560,2013-08-02T05:00:00Z,2013-10-13T16:47:39.211900Z,47.4166666666667,-3.20833333333333
Serhat_2014_fall,2014-09-20T17:00:00Z,2014-10-08T11:20:00Z,buechley-mideast,10007,Serhat,705,2014-09-18T00:00:00Z,2014-10-08T02:54:14.153185Z,2.75,0.513888888888889
Spartacus_2010_fall,2010-09-13T13:00:00Z,2010-11-12T17:00:00Z,oppel-balkans,61952,Spartacus,966,2010-08-27T22:34:37.223134Z,2010-12-05T02:24:14.656753Z,17.5833333333333,-22.2916666666667
Svetlina_2012_fall,2012-09-07T11:00:00Z,2012-11-05T15:00:00Z,oppel-balkans,118152,Svetlina,1348,2012-09-06T05:00:00Z,2012-11-27T21:49:25.820848Z,1.5,-21.375
Tuzluca_2013_fall,2013-08-23T10:07:49Z,2013-10-10T11:00:00Z,buechley-mideast,209,Tuzluca,3979,2013-08-02T23:49:57.162916Z,2013-10-21T20:14:31.821007Z,21.4637615740741,-10.5
Tuzluca_2014_fall,2014-09-06T10:00:00Z,2014-09-26T16:00:00Z,buechley-mideast,209,Tuzluca,4242,2014-08-01T00:00:00Z,2014-10-11T22:00:00Z,36.4583333333333,-14.2916666666667
Tuzluca_2014_spring,2014-04-07T10:06:00Z,2014-04-29T14:00:00Z,buechley-mideast,209,Tuzluca,3960,2014-03-28T06:09:21.771617Z,2014-05-12T06:08:41.072492Z,10.4208333333333,-12.375
Volen_2012_fall,2012-09-05T13:00:00Z,2012-09-26T13:00:00Z,oppel-balkans,118148,Volen,1514,2012-09-05T07:00:00Z,2012-12-31T22:00:00Z,0.583333333333333,-95.4583333333333
Volen_2014_spring,2014-04-29T11:00:00Z,2014-06-26T11:00:00Z,oppel-balkans,118148,Volen,2143,2014-04-26T22:15:02.605505Z,2014-07-20T08:11:29.125968Z,3.5,-23.5
