parameter,R,se,lcl,ucl,P_lrt
totaldistkm,0.741643456017011,0.248117909386231,0.0319984957724107,0.914206578771565,4.35265744123011e-44
cumulativedistkm,0.709349568901243,0.242863269168028,0.0337669462423277,0.898944340132722,2.31559603320512e-40
durationdays,0.119824814984816,0.10013894122563,0,0.356355153586246,0.00124605962393893
straightness,0.546946396092444,0.233520657596242,0.0161269969305571,0.832164649286788,1.58248414882176e-21
start,0.13988222971125,0.113114319751846,0,0.392241588431829,0.000527242793782116
end,0.238107844248583,0.163231648031095,0,0.56742356513463,5.93764908502727e-08
speed,0.270303346855437,0.170693626670356,0,0.602632959007637,1.36639766370742e-08
