?subpopbroad,subpopfine,country,route,ID,year,season,full_migration,agedeploy,agemigr,totaldistance,totaldistkm,cumulativedistance,cumulativedistkm,straightness,msd,msdkm,intensityuse,sinuosity,tac,start,end,durationdays,julian_start,julian_end,startlong,startlat,endlat,endlong
Valencia,Valencia,Spain,West,A75657,2008,fall,y,6,6,2800207.691,2800.207691,3442669.874,3442.669874,0.813382576,7.98149E+11,798149387.9,3.539,0.0045,1.3585,9/2/08 0:00,9/13/08 22:00,11.91666667,246,257,-1.83033,40.8415,16.9805,-11.18033
Valencia,Valencia,Spain,West,A75657,2008,spring,y,6,6,2939257.761,2939.257761,3569267.331,3569.267331,0.823490506,7.34426E+11,734425808.2,3.9399,0.0041,1.5411,3/1/08 1:00,3/14/08 21:00,13.83333333,61,74,-14.39833,16.8235,40.8415,-1.83033
Valencia,Valencia,Spain,West,A75657,2009,fall,y,6,6,2824550.742,2824.550742,3712916.088,3712.916088,0.760736487,9.34684E+11,934683500.8,4.9758,0.0055,2.0796,9/15/09 0:00,10/1/09 20:00,16.83333333,258,274,-1.83483,40.85,17.11683,-12.2715
Valencia,Valencia,Spain,West,A75657,2009,spring,y,6,6,2943445.989,2943.445989,3487633.758,3487.633758,0.843966481,5.23445E+11,523445195,5.7391,0.0055,1.4811,2/23/09 1:00,3/17/09 23:00,22.91666667,54,76,-14.04583,16.639,40.8415,-1.83033
Valencia,Valencia,Spain,West,A75657,2010,fall,y,6,6,2829988.719,2829.988719,3534353.446,3534.353446,0.80070903,8.25269E+11,825269065.8,4.3058,0.0057,2.0926,9/10/10 2:00,9/24/10 22:00,14.83333333,253,267,-1.97833,40.82333,17.05433,-12.44533
Valencia,Valencia,Spain,West,A75657,2010,spring,y,6,6,2919416.879,2919.416879,3499175.319,3499.175319,0.834315692,8.2223E+11,822230464.6,4.9565,0.0062,1.4206,3/3/10 1:00,3/24/10 17:00,21.66666667,62,83,-13.82483,16.742,40.82667,-1.90233
Valencia,Valencia,Spain,West,A75657,2011,fall,y,6,6,2826527.349,2826.527349,3426767.755,3426.767755,0.824837734,8.13462E+11,813462247.3,3.9988,0.0054,1.7473,9/5/11 0:00,9/16/11 22:00,11.91666667,248,259,-1.83617,40.85017,16.8605,-11.56333
Valencia,Valencia,Spain,West,A75657,2011,spring,y,6,6,2839452.073,2839.452073,3396848.727,3396.848727,0.83590772,1.0901E+12,1090101672,4.1422,0.0045,1.7265,2/28/11 1:00,3/21/11 19:00,21.75,59,80,-14.0875,17.23733,40.51417,-2.12533
Valencia,Valencia,Spain,West,A75657,2012,fall,y,6,6,2821434.418,2821.434418,3451448.455,3451.448455,0.817463872,7.0501E+11,705009743.3,4.1458,0.0049,1.6977,8/31/12 0:00,9/11/12 22:00,11.91666667,244,255,-1.838,40.85,16.92933,-11.62967
Valencia,Valencia,Spain,West,A75657,2012,spring,y,6,6,2959742.261,2959.742261,3549477.203,3549.477203,0.833853013,6.08187E+11,608186646.9,4.2007,0.0052,1.3765,2/26/12 13:00,3/14/12 19:00,17.25,57,74,-14.96567,16.85317,40.82583,-1.8255
Valencia,Valencia,Spain,West,A75657,2013,fall,y,6,6,2823670.402,2823.670402,3531256.709,3531.256709,0.799621957,1.12076E+12,1120758336,3.4254,0.0062,1.8386,9/9/13 0:00,9/21/13 22:00,12.91666667,252,264,-0.47767,40.22483,17.07167,-12.47017
Valencia,Valencia,Spain,West,A75657,2013,spring,y,6,6,2922998.065,2922.998065,3443968.18,3443.96818,0.848729695,7.40082E+11,740081663.3,4.6137,0.0053,1.9362,2/25/13 1:00,3/22/13 23:00,25.91666667,56,81,-13.93533,16.732,40.22417,-0.47617
Valencia,Valencia,Spain,West,A75658,2009,fall,y,1,1,2597271.645,2597.271645,4410820.176,4410.820176,0.588840973,6.91723E+11,691722731.3,4.0766,0.0066,2.1472,9/8/09 8:00,10/8/09 22:00,30.58333333,251,281,-3.35467,39.107,15.66267,-2.998
Valencia,Valencia,Spain,West,A75659,2009,fall,y,6,6,2788616.225,2788.616225,3372648.411,3372.648411,0.826832769,8.4604E+11,846040085.2,3.4769,0.0055,1.7913,9/7/09 12:00,9/24/09 22:00,17.41666667,250,267,-2.23483,40.686,16.33467,-9.34633
Valencia,Valencia,Spain,West,A75659,2010,fall,y,6,6,2891524.355,2891.524355,3478370.665,3478.370665,0.831287012,9.16511E+11,916510867.9,4.1979,0.0064,1.8295,9/8/10 0:00,9/25/10 22:00,17.91666667,251,268,-1.8305,40.8415,15.835,-10.1765
Valencia,Valencia,Spain,West,A75659,2010,spring,y,6,6,3129245.097,3129.245097,4408278.04,4408.27804,0.709856563,8.1378E+11,813780269.7,3.6838,0.0059,1.5846,2/28/10 1:00,3/19/10 23:00,19.91666667,59,78,-11.35983,13.93467,40.82517,-1.82633
Valencia,Valencia,Spain,West,A75659,2011,spring,y,6,6,2989196.052,2989.196052,3645449.436,3645.449436,0.819980116,8.96087E+11,896086933.9,4.7212,0.0073,1.8076,2/26/11 1:00,3/20/11 21:00,22.83333333,57,79,-11.164,15.0515,40.787,-2.20017
Valencia,Valencia,Spain,West,A80419,2008,fall,y,6,6,2790821.658,2790.821658,3252749.084,3252.749084,0.857988608,8.86947E+11,886947110.9,3.8397,0.0053,1.4804,9/19/08 0:00,10/3/08 22:00,14.91666667,263,277,-1.78267,40.871,16.4495,-8.724
Valencia,Valencia,Spain,West,A80419,2009,fall,y,6,6,2737350.491,2737.350491,3114378.934,3114.378934,0.878939445,7.9499E+11,794989972.8,3.5753,0.0048,1.5016,9/4/09 0:00,9/19/09 22:00,15.91666667,247,262,-1.836,40.84983,16.73833,-7.914
Valencia,Valencia,Spain,West,A80419,2009,spring,y,6,6,3083915.096,3083.915096,3462401.232,3462.401232,0.890686806,1.08808E+12,1088084946,4.0971,0.0049,1.7799,2/16/09 1:00,3/9/09 17:00,21.66666667,47,68,-9.913,13.94333,40.80533,-1.83467
Valencia,Valencia,Spain,West,A80419,2010,fall,y,6,6,2803270.984,2803.270984,3345132.666,3345.132666,0.83801489,6.13193E+11,613192745.3,4.1857,0.005,1.7741,9/10/10 12:00,9/28/10 22:00,18.41666667,253,271,-2.07983,40.62717,16.2835,-9.78733
