?subpopbroad,subpopfine,country,route,ID,year,season,full_migration,agedeploy,agemigr,totaldistance,totaldistkm,cumulativedistance,cumulativedistkm,straightness,msd,msdkm,intensityuse,sinuosity,tac,start,end,durationdays,julian_start,julian_end,startlong,startlat,endlat,endlong
Bulgaria,Bulgaria,Bulgaria,East,Boris,2017,fall,y,6,6,4592746.628,4592.746628,5912827.146,5912.827146,0.776742921,2.06066E+12,2060655294,3.6,0.0057,1.401,9/22/17 5:00,10/6/17 22:00,14.70833333,265,279,25.62633,41.60417,10.80767,42.6025
Bulgaria,Bulgaria,Bulgaria,East,Boris,2017,spring,y,6,6,4558379.912,4558.379912,6453166.679,6453.166679,0.706378765,2.30671E+12,2306713534,3.9465,0.0062,2.1683,3/1/17 3:00,3/22/17 22:00,21.79166667,60,81,42.76367,11.18883,41.63991,25.67353
Bulgaria,Bulgaria,Bulgaria,East,Boris,2018,fall,y,6,6,4603541.343,4603.541343,5939180.988,5939.180988,0.775113833,2.20795E+12,2207945126,3.61,0.0059,1.397,9/22/18 5:00,10/6/18 22:00,14.70833333,265,279,25.62533,41.60267,10.678,42.52917
Bulgaria,Bulgaria,Bulgaria,East,Boris,2018,spring,y,6,6,4602350.978,4602.350978,6093585.944,6093.585944,0.75527793,2.26777E+12,2267765749,3.7057,0.0065,2.0366,2/27/18 3:00,3/17/18 22:00,18.79166667,58,76,42.57817,10.72883,41.6325,25.67717
Captive,Captive,Bulgaria,East,Boyana,2018,fall,y,2,2,3592451.345,3592.451345,5302266.684,5302.266684,0.677531245,1.39701E+12,1397011112,4.6584,0.0107,2.0089,9/19/18 0:00,10/22/18 20:00,33.83333333,262,295,26.23,41.0976,12.11875,15.71222
Rioja,Rioja,Spain,West,Brieva,2016,fall,y,1,1,3022677.814,3022.677814,3841962.252,3841.962252,0.786753647,7.06889E+11,706889259.5,5.0729,0.0107,1.8618,9/9/16 6:00,10/6/16 22:00,27.66666667,253,280,-2.770194,42.16999,17.31679,-15.31318
Douro,Douro,Portugal,West,Bruco,2017,fall,y,5,5,2665661.946,2665.661946,3451105.898,3451.105898,0.772408041,9.40736E+11,940735775.5,4.0658,0.008,1.4055,9/6/17 8:00,9/22/17 20:00,16.5,249,265,-6.132066,40.6155,16.8053,-9.469166
MiddleEast,Igdir,Turkey,East,Cabuk,2014,fall,y,2,2,4013388.787,4013.388787,4792213.322,4792.213322,0.837481247,1.77314E+12,1773138276,4.4146,0.0047,1.4062,9/8/14 5:00,9/21/14 21:00,13.66666667,251,264,43.6746,40.0729,12.2296,42.5176
MiddleEast,Igdir,Turkey,East,Cabuk,2015,fall,y,2,3,4145200.647,4145.200647,5300018.286,5300.018286,0.782110631,1.73799E+12,1737986577,3.8757,0.0052,1.4392,10/6/15 5:00,10/27/15 17:00,21.5,279,300,40.0498,38.9859,9.5816,40.6075
MiddleEast,Igdir,Turkey,East,Cabuk,2015,spring,y,2,3,3809929.758,3809.929758,5604520.903,5604.520903,0.679795798,1.1416E+12,1141604885,4.0946,0.0061,1.6604,5/28/15 9:00,6/18/15 21:00,21.5,148,169,40.6757,10.9885,38.054,39.3864
Greece,Greece,Greece,East,Castor,2014,fall,y,6,6,4567642.776,4567.642776,6691898.342,6691.898342,0.682563085,2.20418E+12,2204181800,4.0933,0.0063,1.9101,8/22/14 5:00,9/17/14 22:00,26.70833333,234,260,26.03483,41.4035,10.64117,42.47367
Greece,Greece,Greece,East,Castor,2015,fall,y,6,6,5116633.377,5116.633377,11150582.76,11150.58276,0.458866903,3.10221E+12,3102212932,5.444,0.0076,2.1383,8/11/15 5:00,10/15/15 22:00,65.70833333,223,288,26.10033,41.25517,6.724,43.05267
Greece,Greece,Greece,East,Castor,2015,spring,y,6,6,5094972.249,5094.972249,7646594.004,7646.594004,0.666306103,2.33771E+12,2337712129,4.9461,0.0073,1.8431,3/7/15 3:00,4/5/15 23:00,29.83333333,66,95,42.8325,6.76017,41.28817,26.1575
Bulgaria,Bulgaria,Bulgaria,East,Dobromir,2012,fall,y,1,1,3688111.334,3688.111334,9632931.754,9632.931754,0.382864888,1.14178E+12,1141782151,5.2584,0.0078,1.881,9/8/12 5:00,10/31/12 22:00,53.70833333,252,305,27.64083,43.14617,13.05583,25.08217
Bulgaria,Bulgaria,Bulgaria,East,Dobromir,2014,fall,y,1,3,4546477.915,4546.477915,11343524.74,11343.52474,0.4007994,2.54566E+12,2545662957,4.4355,0.0078,1.9328,7/30/14 5:00,10/2/14 22:00,64.70833333,211,275,28.37117,43.80883,11.40317,40.75917
Bulgaria,Bulgaria,Bulgaria,East,Dobromir,2014,spring,y,1,3,3695987.28,3695.98728,10379210.1,10379.2101,0.356095237,1.89621E+12,1896207278,5.1591,0.0074,2.0101,4/18/14 5:00,6/3/14 23:00,46.75,108,154,29.24867,10.3415,39.782,27.98
Bulgaria,Bulgaria,Bulgaria,East,Dobromir,2015,spring,y,1,4,4180586.842,4180.586842,5793569.963,5793.569963,0.72159081,1.76015E+12,1760148127,3.3651,0.0059,1.6764,4/30/15 1:00,5/15/15 23:00,15.91666667,120,135,32.44168,10.65788,43.37783,27.37617
Bulgaria,Bulgaria,Bulgaria,East,Dobromir,2016,fall,y,1,5,3718265.315,3718.265315,7228373.12,7228.37312,0.514398642,1.76921E+12,1769208048,4.3765,0.008,1.8852,8/12/16 3:00,9/25/16 19:00,44.66666667,225,269,27.99062,44.04274,14.40963,30.59927
Bulgaria,Bulgaria,Bulgaria,East,Dobromir,2016,spring,y,1,5,4053555.756,4053.555756,6805152.048,6805.152048,0.595659836,1.72771E+12,1727709812,3.7348,0.0072,1.8861,5/1/16 3:00,5/30/16 23:00,29.83333333,122,151,26.62375,10.4064,43.2975,27.55933
Douro,Douro,Portugal,West,Douro,2017,fall,y,6,6,2650868.203,2650.868203,3398934.487,3398.934487,0.779911532,8.48402E+11,848401665.5,3.4649,0.0059,1.8666,8/28/17 7:00,9/9/17 20:00,12.54166667,240,252,-6.542883,41.09308,17.2373,-7.676949
Douro,Douro,Portugal,West,Douro,2018,fall,y,6,6,2649372.711,2649.372711,3626119.99,3626.11999,0.730635698,1.0332E+12,1033196787,4.0102,0.0089,1.439,8/29/18 8:00,9/17/18 20:00,19.5,241,260,-6.544383,41.0923,17.4135,-9.65315
Douro,Douro,Portugal,West,Douro,2018,spring,y,6,6,2636005.716,2636.005716,4289487.874,4289.487874,0.614526907,8.89717E+11,889716710.1,4.3497,0.0067,1.496,2/3/18 6:00,2/25/18 19:00,22.54166667,34,56,-10.82472,17.441,40.84108,-6.572499
Gipuzkoa,Gipuzkoa,Spain,West,Ekhi,2018,fall,y,1,1,3024728.175,3024.728175,3558124.833,3558.124833,0.850090516,8.43105E+11,843105136.6,4.2198,0.0093,1.4209,9/1/18 6:00,9/16/18 23:00,15.70833333,244,259,-2.360751,42.96031,16.86518,-11.36838
Captive,Captive,Bulgaria,East,Elodie,2016,fall,y,1,1,3721111.734,3721.111734,5217725.686,5217.725686,0.713167376,1.84916E+12,1849161422,3.3205,0.0069,1.6854,9/27/16 4:00,10/18/16 22:00,21.75,271,292,25.92919,42.87755,14.735,7.61833
Douro,Douro,Portugal,West,Faia,2017,fall,y,6,6,2639074.864,2639.074864,3295461.967,3295.461967,0.800820914,5.55522E+11,555522237.5,4.1443,0.0074,1.0231,8/23/17 8:00,9/5/17 20:00,13.5,235,248,-6.536466,40.83747,17.08535,-7.628566
Douro,Douro,Portugal,West,Faia,2018,spring,y,6,6,2700576.413,2700.576413,3319550.631,3319.550631,0.813536744,6.18891E+11,618891069.9,4.2902,0.0071,1.829,2/25/18 7:00,3/17/18 18:00,20.45833333,56,76,-7.516682,16.61725,40.93502,-6.921466
Pyrenees,Pyrenees,France,West,Gardon,2016,fall,y,6,6,3152084.705,3152.084705,3894332.634,3894.332634,0.809403048,1.00683E+12,1006826823,4.1523,0.01,1.3392,9/9/16 1:00,9/23/16 23:00,14.91666667,253,267,2.25501,43.80127,17.39144,-10.02693
Pyrenees,Pyrenees,France,West,Gardon,2017,fall,y,6,6,3330384.595,3330.384595,3908327.923,3908.327923,0.85212517,1.32245E+12,1322450462,4.1596,0.01,1.3928,9/8/17 5:00,9/24/17 23:00,16.75,251,267,4.43804,44.375,16.70791,-9.25161
Pyrenees,Pyrenees,France,West,Gardon,2017,spring,y,6,6,3334056.452,3334.056452,4980836.077,4980.836077,0.669376868,1.38732E+12,1387319045,3.8174,0.0117,1.7708,2/28/17 0:00,3/31/17 17:00,31.70833333,59,90,-9.33546,16.71147,44.39833,4.3999
SFrance,SFrance,France,West,Gardon,2018,fall,y,6,6,3391305.687,3391.305687,4108110.218,4108.110218,0.825514776,1.26298E+12,1262976921,3.8387,0.0105,1.6482,9/9/18 5:00,9/26/18 23:00,17.75,252,269,4.43747,44.37678,15.88609,-8.55415
SFrance,SFrance,France,West,Gardon,2018,spring,y,6,6,3376792.851,3376.792851,4899069.788,4899.069788,0.689272249,1.27984E+12,1279839520,3.8553,0.0106,1.753,2/28/18 0:00,3/23/18 23:00,23.95833333,59,82,-8.23141,15.91651,44.37509,4.43778
Dagestan,Dagestan,Dagestan,East,Gurman,2017,fall,y,1,1,4200481.556,4200.481556,5506514.48,5506.51448,0.762820396,1.33289E+12,1332894304,4.2853,0.0081,1.2116,9/24/17 6:00,10/19/17 16:00,25.41666667,267,292,47.34981,42.70172,14.05364,43.94
Israel,Israel,Israel,East,H36,2018,fall,y,1,1,2635334.107,2635.334107,5044973.532,5044.973532,0.522368272,6.24694E+11,624694332.1,5.5399,0.0064,1.636,8/29/18 6:00,9/22/18 10:00,24.16666667,241,265,35.76576,32.9001,13.80667,28.00716
MiddleEast,Igdir,Turkey,East,Haydi,2014,fall,y,3,3,5476570.333,5476.570333,7562333.379,7562.333379,0.724190545,2.49136E+12,2491355308,4.175,0.0063,1.8861,9/19/14 5:00,10/29/14 20:00,40.625,262,302,46.5588,39.1655,1.9171,38.5026
MiddleEast,Igdir,Turkey,East,Haydi,2015,fall,y,3,4,5412934.962,5412.934962,7027792.644,7027.792644,0.770218365,2.71312E+12,2713122614,3.9111,0.0056,2.1085,9/20/15 7:00,10/14/15 21:00,24.58333333,263,287,46.4534,39.4583,2.4035,36.7426
MiddleEast,Igdir,Turkey,East,Haydi,2015,spring,y,3,4,5332338.317,5332.338317,8421522.078,8421.522078,0.633179877,2.71771E+12,2717705783,4.0157,0.0059,1.8884,4/11/15 5:00,5/12/15 21:00,31.66666667,101,132,39.1101,2.8151,38.7031,47.2358
Douro,Douro,Spain,West,Huebra,2017,fall,y,6,6,2783682.701,2783.682701,3445526.727,3445.526727,0.807912091,9.18539E+11,918539477.5,4.111,0.0105,1.3889,9/20/17 0:00,10/6/17 21:00,16.875,263,279,-6.543695,41.09291,16.44508,-11.38233
Douro,Douro,Spain,West,Huebra,2018,fall,y,6,6,2735007.841,2735.007841,3446354.823,3446.354823,0.793594387,8.51774E+11,851773995.3,4.3906,0.0103,1.4214,9/26/18 6:00,10/16/18 21:00,20.625,269,289,-6.661036,41.03853,16.84992,-11.56885
Douro,Douro,Spain,West,Huebra,2018,spring,y,6,6,2612122.937,2612.122937,3633016.765,3633.016765,0.718995564,7.95449E+11,795448915.6,3.2154,0.0072,1.6473,2/9/18 6:00,2/26/18 20:00,17.58333333,40,57,-11.03028,17.94016,41.0874,-6.54214
MiddleEast,Igdir,Turkey,East,Igdir,2012,fall,y,6,6,5095082.3,5095.0823,6463129.311,6463.129311,0.788330552,2.65658E+12,2656577072,4.9958,0.0056,1.6166,9/20/12 0:00,10/11/12 18:00,21.75,264,285,43.673,40.07467,5.3035,43.06767
MiddleEast,Igdir,Turkey,East,Igdir,2013,fall,y,6,6,5051523.343,5051.523343,6008135.455,6008.135455,0.840780535,2.3647E+12,2364700555,4.9717,0.0066,1.4157,9/25/13 0:00,10/13/13 20:00,18.83333333,268,286,43.673,40.07467,5.61767,43.18983
MiddleEast,Igdir,Turkey,East,Igdir,2013,spring,y,6,6,5108768.582,5108.768582,5972348.642,5972.348642,0.855403609,2.1723E+12,2172299742,4.5634,0.0055,1.3137,3/16/13 8:00,4/3/13 20:00,18.5,75,93,43.04467,5.2665,40.1545,43.61683
MiddleEast,Igdir,Turkey,East,Igdir,2014,fall,y,6,6,5100434.707,5100.434707,7310526.059,7310.526059,0.697683678,2.42905E+12,2429050577,4.8056,0.0063,1.4602,10/6/14 7:00,11/3/14 19:00,28.5,279,307,43.667,40.08167,5.28033,43.09333
MiddleEast,Igdir,Turkey,East,Igdir,2014,spring,y,6,6,5031684.077,5031.684077,5900966.632,5900.966632,0.852688109,2.15392E+12,2153919812,4.8599,0.006,1.7147,3/3/14 1:00,3/22/14 19:00,19.75,62,81,43.0095,5.7525,40.14717,43.62033
Bulgaria,Bulgaria,Bulgaria,East,Iliaz,2012,fall,y,1,1,3382554.25,3382.55425,6312967.08,6312.96708,0.535810532,1.61269E+12,1612686932,3.729,0.0072,1.796,9/19/12 3:00,10/16/12 22:00,27.79166667,263,290,25.842,41.436,13.65633,19.237
Bulgaria,Bulgaria,Bulgaria,East,Iliaz,2016,fall,y,1,5,3344082.521,3344.082521,10678775.9,10678.7759,0.313152233,2.30828E+12,2308277312,4.9748,0.0077,2.1371,8/26/16 4:00,10/17/16 23:00,52.79166667,239,291,25.81342,41.87012,16.29317,33.70867
Bulgaria,Bulgaria,Bulgaria,East,Iliaz,2016,spring,y,1,5,3582300.244,3582.300244,9348990.427,9348.990427,0.38317509,1.62212E+12,1622115897,4.7191,0.0073,1.9886,3/17/16 5:00,5/9/16 23:00,53.75,77,130,19.20633,13.17017,42.63067,26.10283
Bulgaria,Bulgaria,Bulgaria,East,Iliaz,2017,fall,y,1,6,3428408.1,3428.4081,7105396.211,7105.396211,0.48250766,1.39898E+12,1398984731,3.7985,0.0064,1.7764,9/1/17 5:00,10/2/17 22:00,31.70833333,244,275,25.81267,41.86583,13.67217,19.20617
Bulgaria,Bulgaria,Bulgaria,East,Iliaz,2017,spring,y,1,6,3884483.171,3884.483171,6713023.148,6713.023148,0.578648857,1.67413E+12,1674131634,3.9301,0.0064,1.9627,4/6/17 2:00,4/30/17 23:00,24.875,96,120,35.27789,12.83149,41.9545,25.17967
Bulgaria,Bulgaria,Bulgaria,East,Iliaz,2018,fall,y,1,6,3350100.228,3350.100228,6703031.889,6703.031889,0.499788795,1.86318E+12,1863177911,3.6084,0.0066,1.8044,8/27/18 5:00,9/21/18 23:00,25.75,239,264,25.63817,41.59833,14.06992,18.81188
Bulgaria,Bulgaria,Bulgaria,East,Iliaz,2018,spring,y,1,6,3853674.762,3853.674762,8240004.862,8240.004862,0.4676787,2.1972E+12,2197201521,3.9858,0.0069,1.7764,3/16/18 5:00,4/21/18 22:00,36.70833333,75,111,20.00767,9.30167,41.20984,25.15983
MiddleEast,Igdir,Turkey,East,Iste,2014,fall,y,6,6,4220193.013,4220.193013,5026573.45,5026.57345,0.839576514,1.88464E+12,1884637862,4.0713,0.0045,1.3128,9/19/14 5:00,10/3/14 21:00,14.66666667,262,276,42.1931,40.0579,10.4771,41.6
MiddleEast,Igdir,Turkey,East,Iste,2015,fall,y,6,6,4227155.252,4227.155252,4903166.714,4903.166714,0.86212758,1.75267E+12,1752670055,4.2032,0.0046,0.9505,9/17/15 5:00,9/29/15 21:00,12.66666667,260,272,42.1675,40.0862,10.4013,41.336
MiddleEast,Igdir,Turkey,East,Iste,2015,spring,y,6,6,4178825.443,4178.825443,5651400.414,5651.400414,0.739431846,1.78177E+12,1781772604,4.6684,0.0053,1.4659,4/14/15 7:00,4/29/15 21:00,15.58333333,104,119,41.3561,10.3538,39.6154,42.3905
MiddleEast,Igdir,Turkey,East,Iste,2016,fall,y,6,6,4268861.534,4268.861534,4939116.448,4939.116448,0.864296596,1.90386E+12,1903863068,3.9578,0.0049,1.2726,9/25/16 5:00,10/9/16 21:00,14.66666667,269,283,42.1561,40.0556,10.2681,42.1903
MiddleEast,Igdir,Turkey,East,Iste,2016,spring,y,6,6,4178475.9,4178.4759,5403705.278,5403.705278,0.77326125,1.9005E+12,1900503799,4.2387,0.0054,1.2768,3/22/16 4:00,4/8/16 19:00,17.625,82,99,40.7619,10.4826,39.8822,42.3778
MiddleEast,Igdir,Turkey,East,Iste,2017,fall,y,6,6,4297296.423,4297.296423,5164456.027,5164.456027,0.832090815,1.93071E+12,1930706788,4.6776,0.0043,1.5484,9/24/17 5:00,10/9/17 17:00,15.5,267,282,42.2058,40.0655,10.0668,42.0582
MiddleEast,Igdir,Turkey,East,Iste,2017,spring,y,6,6,4181971.65,4181.97165,4923813.269,4923.813269,0.849335956,1.35148E+12,1351479553,4.8377,0.0054,1.7854,3/13/17 5:00,3/30/17 21:00,17.66666667,72,89,41.7108,10.7461,40.0535,42.1732
MiddleEast,Igdir,Turkey,East,Iste,2018,fall,y,6,6,4306414.684,4306.414684,4943763.595,4943.763595,0.871080221,1.6805E+12,1680495132,4.3749,0.0047,1.299,9/16/18 5:00,9/28/18 21:00,12.66666667,259,271,42.1475,40.0557,9.9711,41.9659
MiddleEast,Igdir,Turkey,East,Iste,2018,spring,y,6,6,4185794.043,4185.794043,4969451.108,4969.451108,0.842305106,1.68415E+12,1684153642,4.779,0.0048,1.5163,3/16/18 5:00,3/31/18 21:00,15.66666667,75,90,41.7002,10.561,39.7956,42.6339
Israel,Israel,Israel,East,J4107,2018,fall,y,1,1,2851137.043,2851.137043,3780026.585,3780.026585,0.754263754,7.7899E+11,778990178.9,4.2618,0.0074,1.366,8/28/18 6:00,9/9/18 20:00,12.58333333,240,252,35.76593,32.89955,15.65046,19.13415
Bulgaria,Bulgaria,Bulgaria,East,Jenny,2015,fall,y,6,6,3332173.099,3332.173099,6435569.241,6435.569241,0.517774415,1.65184E+12,1651836530,3.5745,0.0064,1.7143,9/14/15 5:00,10/1/15 23:00,17.75,257,274,25.62983,41.58583,14.23298,18.55114
Bulgaria,Bulgaria,Bulgaria,East,Jenny,2016,fall,y,6,6,3355176.216,3355.176216,6322840.27,6322.84027,0.530643836,1.8687E+12,1868703285,3.2565,0.0068,1.6438,8/19/16 5:00,9/12/16 22:00,24.70833333,232,256,25.77833,41.57367,14.12117,18.04667
Bulgaria,Bulgaria,Bulgaria,East,Jenny,2016,spring,y,6,6,3531664.58,3531.66458,7552297.095,7552.297095,0.467627867,1.64542E+12,1645421586,3.6364,0.007,1.6818,3/16/16 5:00,4/16/16 23:00,31.75,76,107,17.84917,12.61583,41.59583,25.62367
Bulgaria,Bulgaria,Bulgaria,East,Jenny,2017,fall,y,6,6,3355890.329,3355.890329,6076843.432,6076.843432,0.552242355,1.86687E+12,1866869628,3.0707,0.0064,1.7235,9/12/17 5:00,9/30/17 22:00,18.70833333,255,273,25.44517,41.59167,14.01417,18.29617
Bulgaria,Bulgaria,Bulgaria,East,Jenny,2017,spring,y,6,6,3409901.823,3409.901823,7170610.141,7170.610141,0.475538588,1.60046E+12,1600459830,3.5132,0.0073,1.4625,3/14/17 2:00,4/15/17 23:00,32.875,73,105,17.69498,13.71635,41.78533,25.13117
Bulgaria,Bulgaria,Bulgaria,East,Jenny,2018,fall,y,6,6,3371185.983,3371.185983,5898001.645,5898.001645,0.571581052,2.12177E+12,2121769994,3.1964,0.0067,1.8564,9/10/18 5:00,10/4/18 22:00,24.70833333,253,277,25.4645,41.627,13.95783,17.963
Bulgaria,Bulgaria,Bulgaria,East,Jenny,2018,spring,y,6,6,3373865.292,3373.865292,6512248.602,6512.248602,0.518079929,1.66313E+12,1663129294,3.4573,0.0072,1.7846,3/4/18 5:00,3/30/18 23:00,26.75,63,89,17.27717,14.058,41.59559,25.70202
Greece,Greece,Greece,East,Lazaros,2012,fall,y,6,6,3109205.586,3109.205586,7061513.62,7061.51362,0.440302994,1.73313E+12,1733134390,3.5338,0.0062,1.6814,9/1/12 3:00,9/22/12 22:00,21.79166667,245,266,21.655,39.84,13.624,17.97633
Greece,Greece,Greece,East,Lazaros,2013,spring,y,6,6,3361494.845,3361.494845,7499172.834,7499.172834,0.448248749,1.56908E+12,1569081468,3.7977,0.0062,1.7096,3/8/13 0:00,3/31/13 15:00,23.625,67,90,17.492,12.89633,40.82367,23.80683
Greece,Greece,Greece,East,Levkipos,2012,fall,y,1,1,3303858.149,3303.858149,6974365.039,6974.365039,0.473714543,1.39959E+12,1399587357,3.8285,0.007,1.7034,9/10/12 5:00,10/14/12 22:00,34.70833333,254,288,27.26417,40.8115,14.50517,16.94133
Rioja,Rioja,Spain,West,Lidia,2018,fall,y,1,1,3397030.634,3397.030634,6890737.252,6890.737252,0.492985077,8.43309E+11,843308858.4,6.5264,0.0115,1.9431,8/31/18 8:00,11/16/18 20:00,77.5,243,320,-2.041983,42.22695,14.1303,-15.52405
MiddleEast,AzerbaijanIran,MiddleEast,East,Logiya,2014,fall,y,2,3,3696153.047,3696.153047,5010804.703,5010.804703,0.73763662,1.56235E+12,1562350047,3.53,0.0065,1.5708,8/23/14 4:00,9/10/14 22:00,18.75,235,253,45.04667,35.9165,10.85217,41.29767
MiddleEast,AzerbaijanIran,MiddleEast,East,Logiya,2014,spring,y,2,3,3597975.528,3597.975528,6186011.053,6186.011053,0.581630957,1.43733E+12,1437327906,4.0333,0.0058,1.5617,5/20/14 4:00,6/15/14 19:00,26.625,140,166,41.25283,11.93167,36.93417,42.7975
MiddleEast,AzerbaijanIran,MiddleEast,East,Logiya,2015,fall,y,2,4,3804116.906,3804.116906,5103256.874,5103.256874,0.745429242,1.4682E+12,1468195522,3.694,0.0057,1.7492,9/8/15 0:00,9/22/15 22:00,14.91666667,251,265,44.35583,37.11167,11.01017,41.21283
MiddleEast,AzerbaijanIran,MiddleEast,East,Logiya,2015,spring,y,2,4,4228707.267,4228.707267,14346113.79,14346.11379,0.29476326,2.02266E+12,2022655021,6.452,0.0047,2.0659,4/17/15 4:00,6/19/15 16:00,63.5,107,170,41.21317,11.01017,40.75267,42.62667
MiddleEast,AzerbaijanIran,MiddleEast,East,Logiya,2016,fall,y,2,5,4086753.407,4086.753407,4765729.504,4765.729504,0.857529451,1.47155E+12,1471545111,3.9844,0.0046,1.6234,9/15/16 0:00,9/27/16 18:00,12.75,259,271,46.97,38.51667,10.99933,41.203
MiddleEast,AzerbaijanIran,MiddleEast,East,Logiya,2016,spring,y,2,5,4150265.203,4150.265203,6818037.662,6818.037662,0.608718433,1.91189E+12,1911886585,3.6242,0.0052,1.4132,4/16/16 5:00,5/9/16 20:00,23.625,107,130,41.1955,10.98583,39.58967,45.00967
MiddleEast,AzerbaijanIran,MiddleEast,East,Logiya,2017,fall,y,2,6,4168234.683,4168.234683,5030533.247,5030.533247,0.828587046,1.65715E+12,1657145903,4.0515,0.0047,1.9514,9/15/17 8:00,9/27/17 22:00,12.58333333,258,270,47.066,39.14233,11.01267,41.204
MiddleEast,AzerbaijanIran,MiddleEast,East,Logiya,2017,spring,y,2,6,4165669.179,4165.669179,6862184.894,6862.184894,0.607047062,2.27455E+12,2274550897,3.7289,0.0058,1.4808,4/6/17 4:00,4/28/17 20:00,22.66666667,96,118,41.20483,11.03217,39.14467,47.06817
MiddleEast,AzerbaijanIran,MiddleEast,East,Logiya,2018,fall,y,2,6,4197196.748,4197.196748,4885026.885,4885.026885,0.859196243,1.57476E+12,1574758828,3.7765,0.0055,1.8343,9/6/18 10:00,9/19/18 20:00,13.41666667,249,262,47.23483,39.30367,11.00433,41.20317
MiddleEast,AzerbaijanIran,MiddleEast,East,Logiya,2018,spring,y,2,6,4166712.265,4166.712265,6144314.227,6144.314227,0.678141142,1.70828E+12,1708279135,3.3148,0.0044,1.2477,3/22/18 4:00,4/9/18 18:00,18.58333333,81,99,41.21667,11.00533,39.13617,47.0205
MiddleEast,Syunik,Armenia,East,Orada,2015,fall,y,2,2,4315107.633,4315.107633,6383621.233,6383.621233,0.675965487,1.84118E+12,1841184891,4.2621,0.0077,1.8253,8/28/15 3:00,9/27/15 21:00,30.75,240,270,46.94342,39.37217,10.21458,41.37153
MiddleEast,Syunik,Armenia,East,Orada,2016,fall,y,2,3,4278439.234,4278.439234,4756747.565,4756.747565,0.89944635,2.02099E+12,2020990426,3.7459,0.0022,0.7285,9/15/16 3:00,9/29/16 21:00,14.75,259,273,46.37397,39.49213,10.46773,42.05935
MiddleEast,Syunik,Armenia,East,Orada,2016,spring,y,2,3,4404991.627,4404.991627,7395656.802,7395.656802,0.595618718,2.52085E+12,2520853554,3.8665,0.0047,1.6674,3/14/16 2:00,6/5/16 21:00,83.79166667,74,157,40.97652,9.72205,39.67592,46.4902
Pyrenees,Pyrenees,France,West,Ossau,2018,fall,y,6,6,3064030.561,3064.030561,3270854.279,3270.854279,0.936767676,5.28031E+11,528031078.4,4.2139,0.0028,1.0548,9/1/18 5:00,9/15/18 9:00,14.16666667,244,258,-0.4131683,43.05646,17.0471,-11.14684
Greece,Greece,Greece,East,Paschalis,2013,fall,y,1,1,3358517.985,3358.517985,5368276.322,5368.276322,0.625623158,1.49853E+12,1498529444,4.0511,0.0074,1.6977,9/8/13 4:00,9/26/13 22:00,18.75,251,269,26.18,41.143,14.49533,14.34867
Douro,Douro,Portugal,West,Poiares,2017,fall,y,6,6,2662917.006,2662.917006,3144764.655,3144.764655,0.846777835,5.51474E+11,551473806,4.5787,0.0064,1.3767,9/22/17 8:00,10/6/17 20:00,14.5,265,279,-6.077599,40.81005,17.29855,-11.20607
Captive,Captive,Bulgaria,East,Polya,2018,fall,y,2,2,3422402.789,3422.402789,8249645.925,8249.645925,0.414854507,1.59057E+12,1590567465,5.3651,0.012,2.051,9/27/18 0:00,12/28/18 18:00,92.75,270,362,25.63063,41.60022,15.49378,33.81508
SFrance,SFrance,France,West,Provence,2017,fall,y,6,6,2911184.146,2911.184146,3679036.035,3679.036035,0.791289924,7.9133E+11,791329762.5,4.0736,0.0091,1.475,8/14/17 5:00,8/31/17 18:00,17.54166667,226,243,0.0479035,42.0176,17.1221,-9.559163
SFrance,SFrance,France,West,Provence,2018,fall,y,6,6,3261484.802,3261.484802,4195867.574,4195.867574,0.777308803,1.23073E+12,1230728242,3.9066,0.0088,1.5929,7/19/18 6:00,8/14/18 18:00,26.5,200,226,4.854308,43.59454,16.79244,-9.271122
SFrance,SFrance,France,West,Provence,2018,spring,y,6,6,3325693.31,3325.69331,5458639.851,5458.639851,0.609253111,1.05133E+12,1051331867,4.056,0.0087,1.3204,3/9/18 6:00,4/6/18 18:00,28.5,68,96,-9.168999,16.73103,44.15273,5.041228
Rioja,Rioja,Spain,West,Quel,2016,fall,y,1,1,3397781.949,3397.781949,4691952.909,4691.952909,0.724172219,7.92344E+11,792343875.4,4.4411,0.0063,1.5759,9/2/16 6:00,10/26/16 18:00,54.5,246,300,-2.043198,42.22732,13.65063,-14.25944
Douro,Douro,Portugal,West,Rupis,2016,fall,y,3,3,2986608.505,2986.608505,4155598.474,4155.598474,0.718695159,8.45194E+11,845193559,4.7812,0.0077,1.1107,9/20/16 9:00,10/10/16 20:00,20.45833333,264,284,-6.1026,40.82608,14.03362,-8.727017
Douro,Douro,Portugal,West,Rupis,2017,fall,y,3,4,2921835.338,2921.835338,3615499.718,3615.499718,0.808141492,9.13254E+11,913253966.7,4.4187,0.0066,1.35,9/14/17 7:00,9/29/17 20:00,15.54166667,257,272,-6.246749,41.11325,14.80448,-7.369966
Douro,Douro,Portugal,West,Rupis,2017,spring,y,3,4,3062388.058,3062.388058,4194356.719,4194.356719,0.730121033,1.2012E+12,1201203823,4.7746,0.0052,1.2932,4/2/17 9:00,4/18/17 20:00,16.45833333,92,108,-8.81645,13.88638,41.34828,-5.999683
