country,subpopulation,id.year.season,ID,year,season,full_migration,agedeploy,agemigr,totaldistkm,cumulativedistkm,straightness,durationdays,julian_start,julian_end,speed
Greece,Balkans,Castor_2015_spring,Castor,2015,spring,y,6,6,4980.87454357512,5910.95244109734,0.842651771133258,29,66,95,203.825946244736
Bulgaria,Balkans,Dobromir_2012_fall,Dobromir,2012,fall,y,1,1,3616.99563862762,6856.10472630852,0.527558399851791,53,252,305,129.360466534123
Bulgaria,Balkans,Dobromir_2014_fall,Dobromir,2014,fall,y,1,3,4583.78376898155,7713.31079889768,0.594269294793181,64,211,275,120.520481232776
Bulgaria,Balkans,Dobromir_2014_spring,Dobromir,2014,spring,y,1,3,3684.65396017175,7745.06573903463,0.475742115602885,46,108,154,168.37099432684
Bulgaria,Balkans,Dobromir_2015_spring,Dobromir,2015,spring,y,1,4,3935.53620094517,4964.14628425479,0.792792149060523,15,120,135,330.943085616986
Bulgaria,Balkans,Dobromir_2016_fall,Dobromir,2016,fall,y,1,5,3688.78279245627,5648.66974219395,0.65303566340622,44,225,269,128.378857777135
Bulgaria,Balkans,Dobromir_2016_spring,Dobromir,2016,spring,y,1,5,3829.22400176835,5495.95842812844,0.696734528079814,29,122,151,189.515807866498
Portugal,West,Douro_2017_fall,Douro,2017,fall,y,6,6,2652.40769198207,3034.03391789045,0.874218207101087,12,240,252,252.836159824204
Portugal,West,Douro_2018_fall,Douro,2018,fall,y,6,6,2703.21188378511,3111.57415807842,0.868760230819792,19,241,260,163.767060951496
Portugal,West,Douro_2018_spring,Douro,2018,spring,y,6,6,2559.47582608152,3984.49405418152,0.642359052687126,22,34,56,181.11336609916
Spain,West,Ekhi_2018_fall,Ekhi,2018,fall,y,1,1,2979.32637022426,3129.40675360917,0.952041905958109,15,244,259,208.627116907278
Portugal,West,Faia_2017_fall,Faia,2017,fall,y,6,6,2508.49573038582,2795.44548035518,0.897350976083819,13,235,248,215.034267719629
Portugal,West,Faia_2018_spring,Faia,2018,spring,y,6,6,2599.62226683894,2846.20979657016,0.913362841337848,20,56,76,142.310489828508
