variable,R2_fixed_effects,R2_random_effects
totaldistkm,0.585304359148186,0.338966025157377
cumulativedistkm,0.690475245438453,0.118385633243275
durationdays,0.259106105163256,0.260019085374736
straightness,0.456770877183748,0.245290183738656
start,0.962119605309989,0.000229588946750736
end,0.962794647538694,3.94025812006094e-05
speed,0.325749485864816,0.184189142199419
