id.yr.season,study,tag,id,N_locs,start_mig,end_mig
Mille_2015_spring,buechley-mideast,132085,Mille,1273,,
Odiseas_2012_fall,oppel-balkans,118149,Odiseas,47,,
Orada_2015_fall,buechley-mideast,48500703778,Orada,1499,2015-08-27T13:33:35.966748Z,2015-09-26T18:34:38.561409Z
Orada_2016_fall,buechley-mideast,48500703778,Orada,731,2016-09-15T03:00:00Z,2016-10-04T15:11:39.210998Z
Orada_2016_spring,buechley-mideast,48500703778,Orada,725,2016-05-10T04:41:35.688251Z,2016-06-09T18:23:04.966378Z
Orada_2017_spring,buechley-mideast,48500703778,Orada,163,,
Ossau_2018_fall,kobierzycki-france,17996,Ossau,132,2018-09-01T05:00:00Z,2018-09-13T04:30:49.429648Z
Panteley_2018_fall,oppel-balkans,171360,Panteley,3481,2018-07-27T05:55:49.814610Z,2019-01-26T15:01:04.624955Z
Panteley_2018_spring,oppel-balkans,171360,Panteley,1100,,
Paschalis_2013_fall,oppel-balkans,130670,Paschalis,1527,2013-09-06T14:42:15.923345Z,2013-10-08T22:00:00Z
Paschalis_2014_spring,oppel-balkans,130670,Paschalis,720,,
Poiares_2017_fall,life.rupis-spain,48797733001,Poiares,1052,2017-09-13T15:05:40.846448Z,2017-10-25T09:09:40.688691Z
Poiares_2017_spring,life.rupis-spain,48797733001,Poiares,322,,
Polya_2018_fall,oppel-balkans,171356,Polya,3694,2018-10-03T00:00:00Z,2018-12-28T18:00:00Z
Polya_2018_spring,oppel-balkans,171356,Polya,1100,,
Provence_2017_fall,kobierzycki-france,5018,Provence,2318,2017-08-14T05:00:00Z,2017-09-07T15:47:05.042575Z
Provence_2018_fall,kobierzycki-france,5018,Provence,942,2018-07-19T06:00:00Z,2018-10-07T18:00:00Z
Provence_2018_spring,kobierzycki-france,5018,Provence,2327,2018-03-09T06:00:00Z,2018-04-10T17:29:26.781039Z
Pyrenees_2015_fall,kobierzycki-france,48601087785,Pyrenees,955,,
Pyrenees_2015_spring,kobierzycki-france,48601087785,Pyrenees,32,,
Pyrenees_2016_fall,kobierzycki-france,48601087785,Pyrenees,576,2016-08-27T19:01:11.514639Z,2016-10-31T02:58:48.485361Z
Pyrenees_2016_spring,kobierzycki-france,48601087785,Pyrenees,555,,
Quel_2016_fall,migra-spain,4405,Quel,649,2016-08-26T06:58:01.700475Z,2016-10-24T03:06:37.186040Z
Quel_2017_fall,migra-spain,4405,Quel,1385,,
Quel_2017_spring,migra-spain,4405,Quel,1163,,
Quel_2018_spring,migra-spain,4405,Quel,17,,
Redcliff_2013_fall,oppel-balkans,130673,Redcliff,198,2013-09-06T20:09:25.417605Z,2013-09-28T20:07:31.545059Z
Regina_2016_fall,oppel-balkans,149506,Regina,166,2016-08-30T22:48:52.897370Z,2016-09-16T05:18:07.275532Z
Rupis_2016_fall,life.rupis-spain,48511694900,Rupis,1387,2016-09-16T16:22:49.046731Z,2016-10-09T23:31:18.511250Z
Rupis_2017_fall,life.rupis-spain,48511694900,Rupis,1264,2017-09-10T10:28:38.137622Z,2017-10-04T04:09:04.781487Z
Rupis_2017_spring,life.rupis-spain,48511694900,Rupis,1386,2017-04-02T09:00:00Z,2017-04-21T09:49:19.812379Z
Rupis_2018_fall,life.rupis-spain,48511694900,Rupis,1575,2018-09-22T07:00:00Z,2018-10-15T15:46:02.393334Z
Rupis_2018_spring,life.rupis-spain,48511694900,Rupis,1257,2018-03-11T06:00:00Z,2018-04-05T23:00:17.119337Z
Sanie_2013_fall,oppel-balkans,131249,Sanie,1560,2013-08-02T05:00:00Z,2013-10-13T16:47:39.211900Z
Sanie_2014_fall,oppel-balkans,131249,Sanie,2314,,
Sanie_2014_spring,oppel-balkans,131249,Sanie,2249,,
Sanie_2015_fall,oppel-balkans,131249,Sanie,2206,2015-07-24T02:00:00Z,2015-09-11T09:56:11.493957Z
Sanie_2015_spring,oppel-balkans,131249,Sanie,2232,2015-05-01T01:19:28.335080Z,2015-06-07T14:40:12.836016Z
Sanie_2016_fall,oppel-balkans,131249,Sanie,1108,2016-07-02T00:00:00Z,2016-10-31T02:58:48.485361Z
Sanie_2016_spring,oppel-balkans,131249,Sanie,2186,2016-04-07T23:50:30.470863Z,2016-05-20T01:22:06.870727Z
Sarygush_2017_fall,karyakin-russia,117,Sarygush,300,2017-09-05T05:00:00Z,2017-09-23T09:41:51.968856Z
Serhat_2014_fall,buechley-mideast,10007,Serhat,705,2014-09-18T00:00:00Z,2014-10-08T02:54:14.153185Z
Serhat_2014_spring,buechley-mideast,10007,Serhat,223,,
Spartacus_2010_fall,oppel-balkans,61952,Spartacus,966,2010-08-27T22:34:37.223134Z,2010-12-05T02:24:14.656753Z
Spartacus_2011_spring,oppel-balkans,61952,Spartacus,124,,
Svetlina_2012_fall,oppel-balkans,118152,Svetlina,1348,2012-09-06T05:00:00Z,2012-11-27T21:49:25.820848Z
Svetlina_2013_fall,oppel-balkans,118152,Svetlina,2108,2013-11-16T22:07:41.829194Z,2013-12-18T05:58:55.229786Z
Svetlina_2013_spring,oppel-balkans,118152,Svetlina,2046,,
Svetlina_2014_fall,oppel-balkans,118152,Svetlina,813,,
Svetlina_2014_spring,oppel-balkans,118152,Svetlina,2176,2014-05-24T04:00:00Z,2014-06-12T13:08:03.161260Z
