"","id.yr.season","study","tag","id","DateTime","long","lat","NSD","ND","utm.e","utm.n","step_dist","home_dist","cumul_dist","time_diff","speed","Day","date","Year","Month","Hour","id.yr","season"
"1","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-18T12:00:00Z",-7.957,16.98867,8234797,2869.634,-2696.892,2130.027,18.5648594881307,99.9732492455812,5040.17376183812,14,1.32606139200934,18,2018-03-18 12:00:00,2018,3,12,"2HN_2018","spring"
"7","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-19T12:00:00Z",-8.15367,17.792,7713291,2777.281,-2703.697,2232.91,18.6015472349698,189.993675120734,5141.68360679699,14,1.32868194535499,19,2018-03-19 12:00:00,2018,3,12,"2HN_2018","spring"
"13","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-20T12:00:00Z",-9.041,18.9525,7090045,2662.714,-2782.541,2394.843,2.88949801727785,345.776679997986,5306.53770782938,14,0.206392715519846,20,2018-03-20 12:00:00,2018,3,12,"2HN_2018","spring"
"19","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-21T12:00:00Z",-8.84833,19.67733,6599148,2568.881,-2742.925,2479.921,15.4535224672743,411.144146687148,5430.34669583732,14,1.10382303337674,21,2018-03-21 12:00:00,2018,3,12,"2HN_2018","spring"
"25","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-22T12:00:00Z",-8.05067,19.693,6470650,2543.747,-2649.835,2464.179,0.764339973994374,392.517173334357,5521.37463146918,14,0.0545957124281696,22,2018-03-22 12:00:00,2018,3,12,"2HN_2018","spring"
"31","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-23T12:00:00Z",-8.29117,19.864,6399611,2529.745,-2673.751,2490.392,27.1434675547834,415.39718340071,5553.36027740472,14,1.93881911105596,23,2018-03-23 12:00:00,2018,3,12,"2HN_2018","spring"
"37","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-24T12:00:00Z",-10.14967,22.17183,5351297,2313.287,-2828.669,2818.646,7.92199043512917,717.761388074769,5875.44060208052,14,0.565856459652084,24,2018-03-24 12:00:00,2018,3,12,"2HN_2018","spring"
"43","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-25T13:00:00Z",-8.195,23.9545,4139319,2034.532,-2558.808,2985.578,62.3618765866984,863.344551469025,6183.79757076983,15,4.15745843911323,25,2018-03-25 13:00:00,2018,3,13,"2HN_2018","spring"
"49","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-26T12:00:00Z",-5.91033,25.50167,3225156,1795.872,-2267.951,3114.932,1.11802268561192,1045.7577494251,6475.2500900149,14,0.0798587632579945,26,2018-03-26 12:00:00,2018,3,12,"2HN_2018","spring"
"55","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-27T12:00:00Z",-6.90717,27.49617,2490363,1578.088,-2319.461,3375.815,27.9334875292128,1254.65978154342,6747.0942435946,14,1.99524910922949,27,2018-03-27 12:00:00,2018,3,12,"2HN_2018","spring"
"61","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-28T12:00:00Z",-6.90933,29.98133,1650051,1284.543,-2245.077,3668.567,3.34918082274644,1529.75378715064,7065.01732273179,14,0.239227201624746,28,2018-03-28 12:00:00,2018,3,12,"2HN_2018","spring"
"67","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-29T12:00:00Z",-4.35417,31.36733,1158147,1076.173,-1946.673,3764.083,32.042978824423,1712.79740706846,7355.69803607966,14,2.2887842017445,29,2018-03-29 12:00:00,2018,3,12,"2HN_2018","spring"
"73","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-30T12:00:00Z",-1.583,32.84433,843150.6,918.2323,-1635.45,3869.745,19.9502553732049,1940.91076333788,7686.15117297738,14,1.4250182409432,30,2018-03-30 12:00:00,2018,3,12,"2HN_2018","spring"
"79","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-31T12:00:00Z",0.62133,32.675,1000483,1000.241,-1427.254,3805.201,0.45555345040627,2003.74205360814,7906.46605063221,14,0.0325395321718764,31,2018-03-31 12:00:00,2018,3,12,"2HN_2018","spring"
"85","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-01T11:00:00Z",0.57733,32.725,986534.4,993.2444,-1430.341,3811.737,4.51132286931299,2006.90808711569,7926.33292542775,13,0.347024836100999,1,2018-04-01 11:00:00,2018,4,11,"2HN_2018","spring"
"90","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-02T11:00:00Z",2.35117,35.19717,697528.8,835.1819,-1207.508,4058.491,41.0625442977787,2325.56982508482,8259.66863944283,16,2.56640901861117,2,2018-04-02 11:00:00,2018,4,11,"2HN_2018","spring"
"97","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-03T11:00:00Z",3.71917,36.51483,680006.9,824.6253,-1053.991,4182.989,41.1890434265085,2512.95103091828,8477.95351502802,12,3.43242028554237,3,2018-04-03 11:00:00,2018,4,11,"2HN_2018","spring"
"104","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-04T13:00:00Z",4.92183,36.32267,860377.3,927.5653,-948.7169,4142.003,73.1133045876506,2549.71303262223,8590.79275782083,14,5.2223788991179,4,2018-04-04 13:00:00,2018,4,13,"2HN_2018","spring"
"110","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-05T11:00:00Z",5.0775,35.61017,974478.9,987.157,-947.9846,4059.659,37.9717007755199,2490.87531607355,8805.40775123514,12,3.16430839795999,5,2018-04-05 11:00:00,2018,4,11,"2HN_2018","spring"
"117","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-06T11:00:00Z",4.34583,35.60283,874030.2,934.8958,-1015.231,4070.254,6.33171209958298,2454.44406921963,8882.03285334211,12,0.527642674965249,6,2018-04-06 11:00:00,2018,4,11,"2HN_2018","spring"
"124","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-07T11:00:00Z",4.3465,35.6045,873888.9,934.8203,-1015.137,4070.431,6.38737733411487,2454.6335355367,8896.04422916519,12,0.532281444509573,7,2018-04-07 11:00:00,2018,4,11,"2HN_2018","spring"
"131","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-08T11:00:00Z",4.34617,35.605,873776,934.7599,-1015.157,4070.493,6.31630977322834,2454.66492570123,8910.55813721046,12,0.526359147769028,8,2018-04-08 11:00:00,2018,4,11,"2HN_2018","spring"
"138","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-09T11:00:00Z",4.34733,35.58083,877267,936.6253,-1015.524,4067.758,5.12191824975225,2452.44162935406,8923.81463494858,12,0.426826520812688,9,2018-04-09 11:00:00,2018,4,11,"2HN_2018","spring"
"145","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-10T11:00:00Z",4.39983,35.56883,885934.1,941.2407,-1010.939,4065.572,0.15243508054891,2453.82630822288,8934.83650663941,12,0.0127029233790758,10,2018-04-10 11:00:00,2018,4,11,"2HN_2018","spring"
"152","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-11T11:00:00Z",2.78267,36.31383,595581.7,771.7394,-1143.381,4176.566,44.6962479822817,2453.51791913589,9197.21977504775,12,3.72468733185681,11,2018-04-11 11:00:00,2018,4,11,"2HN_2018","spring"
"158","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-12T15:00:00Z",4.34617,35.605,873776,934.7599,-1015.157,4070.493,6.31630977322834,2454.66492570123,9382.74513727308,18,0.350906098512686,12,2018-04-12 15:00:00,2018,4,15,"2HN_2018","spring"
"163","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-13T11:00:00Z",4.32533,35.58,874458.8,935.125,-1017.56,4068.017,7.07356686538039,2451.31228487877,9396.38238770691,12,0.589463905448366,13,2018-04-13 11:00:00,2018,4,11,"2HN_2018","spring"
"167","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-14T11:00:00Z",4.36333,35.5605,882216.5,939.2638,-1014.452,4065.218,3.52994683728958,2451.29168363754,9406.91495854666,12,0.294162236440798,14,2018-04-14 11:00:00,2018,4,11,"2HN_2018","spring"
"174","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-15T11:00:00Z",4.37717,35.5935,879492,937.8124,-1012.537,4068.705,3.5688642525954,2455.0631510615,9422.45732284223,12,0.29740535438295,15,2018-04-15 11:00:00,2018,4,11,"2HN_2018","spring"
"181","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-16T11:00:00Z",4.3405,35.61133,872150.4,933.8899,-1015.554,4071.295,7.16059368046014,2454.99124265076,9434.06958833721,12,0.596716140038345,16,2018-04-16 11:00:00,2018,4,11,"2HN_2018","spring"
"188","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-17T11:00:00Z",4.33533,35.59133,874220.5,934.9976,-1016.42,4069.13,6.4879872245851,2452.85824864453,9454.7321995186,12,0.540665602048758,17,2018-04-17 11:00:00,2018,4,11,"2HN_2018","spring"
"195","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-18T11:00:00Z",4.34283,35.604,873468.7,934.5955,-1015.484,4070.434,6.51269869875698,2454.41115600226,9473.50376214008,12,0.542724891563082,18,2018-04-18 11:00:00,2018,4,11,"2HN_2018","spring"
"202","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-19T11:00:00Z",1.98083,36.32817,512794.6,716.0968,-1216.109,4192.762,12.6228798286094,2423.00035322905,9710.39503361376,12,1.05190665238411,19,2018-04-19 11:00:00,2018,4,11,"2HN_2018","spring"
"209","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-20T11:00:00Z",-0.16617,35.346,471794.8,686.8732,-1437.325,4124.138,0,2246.47239987884,9964.7900018016,12,0,20,2018-04-20 11:00:00,2018,4,11,"2HN_2018","spring"
"216","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-21T11:00:00Z",-2.86533,34.41767,513029.8,716.261,-1715.225,4078.583,8.63191733221119,2073.67077390541,10236.4972280971,12,0.719326444350932,21,2018-04-21 11:00:00,2018,4,11,"2HN_2018","spring"
"223","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-22T11:00:00Z",-4.339,34.9355,426985,653.4409,-1838.877,4173.994,20.5507803570574,2102.15125649629,10394.8426663507,12,1.71256502975479,22,2018-04-22 11:00:00,2018,4,11,"2HN_2018","spring"
"230","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-23T11:00:00Z",-5.29283,35.3175,388170.4,623.0332,-1916.325,4242.642,0.466342586093749,2131.92779318866,10503.0324995236,12,0.038861882174479,23,2018-04-23 11:00:00,2018,4,11,"2HN_2018","spring"
"237","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-24T11:00:00Z",-5.6305,36.66017,229481.6,479.0424,-1902.791,4405.082,0.525495464807072,2276.9830425796,10660.357201238,12,0.0437912887339227,24,2018-04-24 11:00:00,2018,4,11,"2HN_2018","spring"
"244","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-25T11:00:00Z",-4.67067,38.65933,50930.95,225.6789,-1748.2,4605.856,2.50546302560195,2506.76403716087,10902.7980566967,12,0.208788585466829,25,2018-04-25 11:00:00,2018,4,11,"2HN_2018","spring"
"251","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-26T11:00:00Z",-4.71567,39.706,14261.57,119.4218,-1716.258,4725.073,2.21003964095223,2621.62475055633,11046.8617662234,12,0.184169970079353,26,2018-04-26 11:00:00,2018,4,11,"2HN_2018","spring"
"258","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-27T11:00:00Z",-2.3815,41.90317,44556.34,211.0837,-1443.953,4911.982,14.3647078806973,2893.72065022664,11369.1521438766,12,1.19705899005811,27,2018-04-27 11:00:00,2018,4,11,"2HN_2018","spring"
"265","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-28T13:00:00Z",-2.1215,42.227,64842.89,254.6427,-1411.922,4941.898,12.0506944957273,2933.27683512621,11416.4120998212,14,0.860763892551953,28,2018-04-28 13:00:00,2018,4,13,"2HN_2018","spring"
"271","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-29T11:00:00Z",-2.09117,42.396,74036.74,272.0969,-1403.995,4960.026,0.935572946593726,2952.16436965065,11442.9219876789,12,0.0779644122161438,29,2018-04-29 11:00:00,2018,4,11,"2HN_2018","spring"
"277","2HN_2018_spring","grefa-spain",137397,"2HN","2018-04-30T15:00:00Z",-1.72117,42.30767,80466.62,283.6664,-1376.195,4941.46,0.547189422517123,2949.01457508199,11486.1237455996,18,0.0303994123620624,30,2018-04-30 15:00:00,2018,4,15,"2HN_2018","spring"
"282","2HN_2018_spring","grefa-spain",137397,"2HN","2018-05-01T11:00:00Z",-1.72017,42.30783,80507.05,283.7376,-1376.107,4941.455,0.107479641620992,2949.04991825882,11487.1689559365,12,0.00895663680174935,1,2018-05-01 11:00:00,2018,5,11,"2HN_2018","spring"
"289","2HN_2018_spring","grefa-spain",137397,"2HN","2018-05-02T11:00:00Z",-1.72117,42.3075,80458.7,283.6524,-1376.2,4941.442,0.168981494604564,2948.99614680548,11490.1607641333,12,0.014081791217047,2,2018-05-02 11:00:00,2018,5,11,"2HN_2018","spring"
"296","2HN_2018_spring","grefa-spain",137397,"2HN","2018-05-03T11:00:00Z",-1.71417,42.30583,80602.78,283.9063,-1375.673,4941.092,0.426963164990746,2948.94118397531,11497.8368692632,12,0.0355802637492288,3,2018-05-03 11:00:00,2018,5,11,"2HN_2018","spring"
"303","2HN_2018_spring","grefa-spain",137397,"2HN","2018-05-04T11:00:00Z",-1.70717,42.294,80249.58,283.2836,-1375.465,4939.609,1.7280509453709,2947.78517394886,11502.7931343715,12,0.144004245447575,4,2018-05-04 11:00:00,2018,5,11,"2HN_2018","spring"
"310","2HN_2018_spring","grefa-spain",137397,"2HN","2018-05-05T11:00:00Z",-1.713,42.31017,80854.55,284.3493,-1375.44,4941.549,3.18100121384624,2949.43270106824,11510.106184344,12,0.265083434487186,5,2018-05-05 11:00:00,2018,5,11,"2HN_2018","spring"
"317","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-01T11:00:00Z",-6.32317,40.70067,50475.85,224.6683,-1818.759,4881.522,0,31.8086241720563,2069.71795526406,12,0,1,2018-09-01 11:00:00,2018,9,11,"2HN_2018","fall"
"324","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-02T11:00:00Z",-6.60233,39.874,67388.86,259.5936,-1874.04,4796.671,4.44938691919173,117.242702869369,2173.12372631305,12,0.370782243265978,2,2018-09-02 11:00:00,2018,9,11,"2HN_2018","fall"
"331","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-03T11:00:00Z",-6.62517,39.79833,69845.59,264.2832,-1878.881,4788.813,6.73971791970886,125.644029776927,2207.83797280115,12,0.561643159975739,3,2018-09-03 11:00:00,2018,9,11,"2HN_2018","fall"
"338","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-04T11:00:00Z",-6.61583,39.8195,69005.67,262.6893,-1877.27,4790.926,3.31479195335807,123.179823222289,2225.49673432565,12,0.276232662779839,4,2018-09-04 11:00:00,2018,9,11,"2HN_2018","fall"
"342","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-05T11:00:00Z",-6.60633,39.8195,68571.26,261.8611,-1876.445,4790.65,0.685859842417751,122.826711378152,2226.54534276398,12,0.0571549868681459,5,2018-09-05 11:00:00,2018,9,11,"2HN_2018","fall"
"348","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-06T15:00:00Z",-5.7035,39.201,50909.85,225.6321,-1820.37,4695.174,97.6580897648063,180.81326500282,2367.58131077481,18,5.42544943137813,6,2018-09-06 15:00:00,2018,9,15,"2HN_2018","fall"
"353","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-07T11:00:00Z",-4.85617,38.45433,64697.99,254.358,-1771.633,4587.644,3.92694841633334,279.30228231618,2491.71870498045,12,0.327245701361112,7,2018-09-07 11:00:00,2018,9,11,"2HN_2018","fall"
"360","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-08T11:00:00Z",-5.6055,36.18983,282055.3,531.0888,-1916.455,4350.775,17.0814811336823,514.527501333998,2758.46124797789,12,1.42345676114019,8,2018-09-08 11:00:00,2018,9,11,"2HN_2018","fall"
"367","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-09T11:00:00Z",-4.842,33.98367,594837.3,771.257,-1916.176,4077.889,17.744535587762,764.881842600945,3020.18238716713,12,1.47871129898016,9,2018-09-09 11:00:00,2018,9,11,"2HN_2018","fall"
"374","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-10T11:00:00Z",-5.18717,31.872,1051647,1025.498,-2014.352,3843.365,0.0312259872034078,994.975226265167,3266.79059675187,12,0.00260216560028398,10,2018-09-10 11:00:00,2018,9,11,"2HN_2018","fall"
"381","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-11T11:00:00Z",-4.66667,30.04183,1528908,1236.49,-2015.456,3618.03,0.0188451220309436,1201.2356651699,3491.9228670427,12,0.00157042683591197,11,2018-09-11 11:00:00,2018,9,11,"2HN_2018","fall"
"388","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-12T11:00:00Z",-4.8385,29.54,1684890,1298.033,-2046.907,3563.812,0.130731471879699,1255.25438751872,3551.89350033982,12,0.0108942893233083,12,2018-09-12 11:00:00,2018,9,11,"2HN_2018","fall"
"395","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-13T11:00:00Z",-4.86867,29.29017,1763944,1328.135,-2056.923,3535.425,1.15672288890283,1282.64737852487,3587.48716390799,12,0.0963935740752356,13,2018-09-13 11:00:00,2018,9,11,"2HN_2018","fall"
"402","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-14T11:00:00Z",-3.60017,26.71483,2645768,1626.582,-1992.085,3205.567,2.83857284757825,1579.33432152638,3900.99697151646,12,0.236547737298188,14,2018-09-14 11:00:00,2018,9,11,"2HN_2018","fall"
"409","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-15T11:00:00Z",-3.96267,23.36667,4116556,2028.93,-2107.82,2819.673,19.0991469765523,1944.14201139878,4274.66902652083,12,1.59159558137936,15,2018-09-15 11:00:00,2018,9,11,"2HN_2018","fall"
"416","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-16T11:00:00Z",-4.36883,20.14,5857481,2420.223,-2219.631,2444.363,0.156831454588658,2297.33503150228,4648.65847474477,12,0.0130692878823882,16,2018-09-16 11:00:00,2018,9,11,"2HN_2018","fall"
"423","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-17T11:00:00Z",-6.417,18.99383,6707487,2589.882,-2476.102,2345.344,0.335781152424226,2419.48983917034,4904.65980104877,12,0.0279817627020188,17,2018-09-17 11:00:00,2018,9,11,"2HN_2018","fall"
"430","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-18T11:00:00Z",-6.9545,17.33333,7855983,2802.853,-2571.781,2153.393,1.84162922906921,2604.60308364864,5122.00655117451,12,0.153469102422434,18,2018-09-18 11:00:00,2018,9,11,"2HN_2018","fall"
"437","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-19T11:00:00Z",-7.55117,16.595,8450422,2906.961,-2656.438,2073.888,0,2688.89563539547,5278.80561970936,12,0,19,2018-09-19 11:00:00,2018,9,11,"2HN_2018","fall"
"444","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-20T00:00:00Z",-7.85383,16.606,8488289,2913.467,-2692.18,2080.877,0,2689.48014751074,5319.84744569184,2,0,20,2018-09-20 00:00:00,2018,9,0,"2HN_2018","fall"
"451","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-21T00:00:00Z",-8.30183,15.804,9141911,3023.559,-2761.142,1990,0.0171421021052259,2781.22884766871,5445.74804723887,2,0.00857105105261296,21,2018-09-21 00:00:00,2018,9,0,"2HN_2018","fall"
"458","2HN_2018_fall","grefa-spain",137397,"2HN","2018-09-22T00:00:00Z",-8.29717,15.80267,9142091,3023.589,-2760.608,1989.749,0,2781.33934163203,5479.79586143783,2,0,22,2018-09-22 00:00:00,2018,9,0,"2HN_2018","fall"
"8700","Amud_2018_fall","efrat-israel",180318,"Amud","2018-09-18T05:00:00Z",35.56094,32.93507,64.96517,8.060097,1867.197,3739.798,0.010497818693834,7.88148471054673,1334.48111178301,10,0.0010497818693834,18,2018-09-18 05:00:00,2018,9,5,"Amud_2018","fall"
"8715","Amud_2018_fall","efrat-israel",180318,"Amud","2018-09-19T06:00:00Z",33.71325,29.42686,183553.7,428.4317,1738.411,3323.497,0.00626017578085809,419.809758498901,1765.08416362067,11,0.000569106889168917,19,2018-09-19 06:00:00,2018,9,6,"Amud_2018","fall"
"8729","Amud_2018_fall","efrat-israel",180318,"Amud","2018-09-20T06:00:00Z",33.75844,28.398,287219.6,535.9287,1755.497,3208.49,0.131538088034237,524.999337277573,2050.49358663221,11,0.0119580080031124,20,2018-09-20 06:00:00,2018,9,6,"Amud_2018","fall"
"8743","Amud_2018_fall","efrat-israel",180318,"Amud","2018-09-21T06:00:00Z",32.54416,25.7429,737222.4,858.6165,1662.737,2898.55,0.320446421767134,842.286614235485,2380.68867254112,11,0.0291314928879213,21,2018-09-21 06:00:00,2018,9,6,"Amud_2018","fall"
"8757","Amud_2018_fall","efrat-israel",180318,"Amud","2018-09-22T06:00:00Z",30.73481,21.30579,1933989,1390.679,1513.264,2387.478,0.374953370912151,1367.11181053013,2912.75894573684,11,0.0340866700829228,22,2018-09-22 06:00:00,2018,9,6,"Amud_2018","fall"
"8771","Amud_2018_fall","efrat-israel",180318,"Amud","2018-09-23T06:00:00Z",29.39249,17.33357,3450211,1857.474,1394.378,1936.073,0.362893567936976,1828.81262043417,3380.37592449364,11,0.032990324357907,23,2018-09-23 06:00:00,2018,9,6,"Amud_2018","fall"
"8785","Amud_2018_fall","efrat-israel",180318,"Amud","2018-09-24T06:00:00Z",28.55091,13.96308,5035733,2244.044,1317.666,1556.699,0.00324153738612958,2211.45252080225,3767.50351013376,11,0.000294685216920871,24,2018-09-24 06:00:00,2018,9,6,"Amud_2018","fall"
"8799","Amud_2018_fall","efrat-israel",180318,"Amud","2018-09-25T06:00:00Z",28.52309,13.56046,5235315,2288.081,1316.048,1511.731,0.00108236189127606,2254.88086151445,3833.24445482949,11,9.83965355705512e-05,25,2018-09-25 06:00:00,2018,9,6,"Amud_2018","fall"
"8813","Amud_2018_fall","efrat-israel",180318,"Amud","2018-09-26T06:00:00Z",28.49706,13.5565,5240758,2289.27,1313.223,1511.202,2.79489338426368,2256.13132251082,3877.89587594333,11,0.254081216751244,26,2018-09-26 06:00:00,2018,9,6,"Amud_2018","fall"
"8827","Amud_2018_fall","efrat-israel",180318,"Amud","2018-09-27T06:00:00Z",28.53424,13.55617,5235929,2288.215,1317.278,1511.291,0.00331903630759351,2254.97894412809,3902.36816396379,11,0.000301730573417592,27,2018-09-27 06:00:00,2018,9,6,"Amud_2018","fall"
"8841","Amud_2018_fall","efrat-israel",180318,"Amud","2018-09-28T06:00:00Z",28.50878,13.58601,5224686,2285.757,1314.399,1514.53,0.00663808856867746,2252.63741053261,3939.72488112602,11,0.000603462597152496,28,2018-09-28 06:00:00,2018,9,6,"Amud_2018","fall"
"8855","Amud_2018_fall","efrat-israel",180318,"Amud","2018-09-29T06:00:00Z",28.4949,13.568,5235398,2288.099,1312.948,1512.476,1.64302904467691,2254.98514873088,3957.20911597555,11,0.14936627678881,29,2018-09-29 06:00:00,2018,9,6,"Amud_2018","fall"
"8869","Amud_2018_fall","efrat-israel",180318,"Amud","2018-09-30T06:00:00Z",28.52527,13.56457,5233001,2287.575,1316.271,1512.197,0.00853065940378884,2254.37680464229,3973.34615931584,11,0.000775514491253531,30,2018-09-30 06:00:00,2018,9,6,"Amud_2018","fall"
"8883","Amud_2018_fall","efrat-israel",180318,"Amud","2018-10-01T06:00:00Z",28.5092,13.57303,5231002,2287.138,1314.49,1513.085,0.300384049196182,2253.99584384245,3984.28732106523,11,0.0273076408360166,1,2018-10-01 06:00:00,2018,10,6,"Amud_2018","fall"
"8897","Amud_2018_fall","efrat-israel",180318,"Amud","2018-10-02T06:00:00Z",28.95343,13.90819,5010155,2238.338,1361.703,1552.016,0.00563646827109667,2204.60651890518,4071.64665336466,11,0.000512406206463334,2,2018-10-02 06:00:00,2018,10,6,"Amud_2018","fall"
"8911","Amud_2018_fall","efrat-israel",180318,"Amud","2018-10-03T06:00:00Z",28.90932,13.86468,5036726,2244.265,1357.059,1547.002,0.0283005067249853,2210.57387055601,4131.29474650075,11,0.00257277333863503,3,2018-10-03 06:00:00,2018,10,6,"Amud_2018","fall"
"8925","Amud_2018_fall","efrat-israel",180318,"Amud","2018-10-04T06:00:00Z",28.95449,13.90985,5009216,2238.128,1361.813,1552.206,0.0418887102280159,2204.3979645357,4212.61879899548,11,0.00380806456618326,4,2018-10-04 06:00:00,2018,10,6,"Amud_2018","fall"
"8939","Amud_2018_fall","efrat-israel",180318,"Amud","2018-10-05T06:00:00Z",28.85577,13.68623,5130273,2265.011,1351.878,1526.907,0.0199687470890004,2231.14858717323,4306.93631246735,11,0.00181534064445458,5,2018-10-05 06:00:00,2018,10,6,"Amud_2018","fall"
"8953","Amud_2018_fall","efrat-israel",180318,"Amud","2018-10-06T06:00:00Z",28.93237,13.85783,5037144,2244.358,1359.597,1546.322,0.0139711939107752,2210.59453171858,4386.65088470253,11,0.0012701085373432,6,2018-10-06 06:00:00,2018,10,6,"Amud_2018","fall"
"8967","Amud_2018_fall","efrat-israel",180318,"Amud","2018-10-07T06:00:00Z",28.95446,13.90977,5009263,2238.138,1361.81,1552.196,0.19223720778552,2204.40737109416,4441.72681766517,11,0.0174761097986836,7,2018-10-07 06:00:00,2018,10,6,"Amud_2018","fall"
"8981","Amud_2018_fall","efrat-israel",180318,"Amud","2018-10-08T06:00:00Z",28.95313,13.904,5012215,2238.798,1361.686,1551.548,0.00396092134358416,2205.06034519941,4509.69646435739,11,0.000360083758507651,8,2018-10-08 06:00:00,2018,10,6,"Amud_2018","fall"
"8995","Amud_2018_fall","efrat-israel",180318,"Amud","2018-10-09T06:00:00Z",28.944,13.90768,5011579,2238.656,1360.678,1551.925,0.0191877875665581,2204.94897535187,4567.31505912113,11,0.00174434432423255,9,2018-10-09 06:00:00,2018,10,6,"Amud_2018","fall"
"9009","Amud_2018_fall","efrat-israel",180318,"Amud","2018-10-10T06:00:00Z",28.94954,13.90697,5011229,2238.577,1361.284,1551.866,0.00698472794881717,2204.85488187893,4606.12729212033,11,0.000634975268074288,10,2018-10-10 06:00:00,2018,10,6,"Amud_2018","fall"
"9023","Amud_2018_fall","efrat-israel",180318,"Amud","2018-10-11T06:00:00Z",28.58583,13.65293,5181601,2276.313,1322.566,1522.251,0.00738916374496851,2243.10572940014,4660.08981002037,11,0.000671742158633501,11,2018-10-11 06:00:00,2018,10,6,"Amud_2018","fall"
"9037","Amud_2018_fall","efrat-israel",180318,"Amud","2018-10-12T06:00:00Z",28.5346,13.57169,5228253,2286.537,1317.264,1513.022,0.00911162007198422,2253.32652729387,4711.61448668637,11,0.000828329097453111,12,2018-10-12 06:00:00,2018,10,6,"Amud_2018","fall"
"9051","Amud_2018_fall","efrat-israel",180318,"Amud","2018-10-13T06:00:00Z",28.50813,13.57069,5232294,2287.421,1314.381,1512.821,0.0151214090329028,2254.27738834388,4760.2720139868,11,0.00137467354844571,13,2018-10-13 06:00:00,2018,10,6,"Amud_2018","fall"
"9065","Amud_2018_fall","efrat-israel",180318,"Amud","2018-10-14T06:00:00Z",28.50242,13.57472,5231081,2287.156,1313.745,1513.251,0.0310532496156142,2254.03416299023,4790.60725509399,11,0.00282302269232857,14,2018-10-14 06:00:00,2018,10,6,"Amud_2018","fall"
