id.yr.season,study,tag,id,N_locs,start_mig,end_mig
2HN_2015_fall,grefa-spain,137397,2HN,633,2015-07-29T16:00:00Z,2015-11-24T00:16:30.757993Z
2HN_2016_fall,grefa-spain,137397,2HN,1224,,
2HN_2016_spring,grefa-spain,137397,2HN,1211,,
2HN_2017_fall,grefa-spain,137397,2HN,1204,2017-06-28T10:18:32.315226Z,2017-07-09T00:23:15.388938Z
2HN_2017_spring,grefa-spain,137397,2HN,1202,2017-04-29T06:33:44.171013Z,2017-05-26T20:49:34.703762Z
2HN_2018_fall,grefa-spain,137397,2HN,1247,2018-09-01T11:00:00Z,2018-09-25T17:38:40.690388Z
2HN_2018_spring,grefa-spain,137397,2HN,1173,2018-02-26T01:52:17.759321Z,2018-05-06T09:51:08.054607Z
2HP_2016_fall,grefa-spain,48500703772,2HP,233,2016-08-21T06:14:18.806784Z,2016-10-16T12:12:32.349416Z
2HP_2018_fall,grefa-spain,48500703772,2HP,230,2018-08-22T21:43:29.242007Z,2018-11-05T00:16:30.757993Z
2HP_2018_spring,grefa-spain,48500703772,2HP,116,2018-03-31T10:59:26.316120Z,2018-06-10T04:02:30.068101Z
95N_2018_fall,grefa-spain,181641,95N,1946,2018-09-08T06:00:00Z,2018-09-26T11:47:48.084065Z
95P_2018_fall,grefa-spain,6471,95P,1380,2018-09-07T07:00:00Z,2018-11-22T03:15:43.680917Z
95R_2016_fall,grefa-spain,5019,95R,2016,2016-08-29T07:00:00Z,2016-10-15T21:00:00Z
95R_2017_fall,grefa-spain,5019,95R,879,,
95R_2017_spring,grefa-spain,5019,95R,2705,,
95R_2018_spring,grefa-spain,5019,95R,29,,
9FC_2017_fall,grefa-spain,5782,9FC,388,2017-09-10T21:43:29.242007Z,2017-11-24T00:16:30.757993Z
9FH_2017_fall,grefa-spain,370,9FH,3405,2017-08-11T00:00:00Z,2017-11-21T12:14:06.219712Z
9FH_2018_spring,grefa-spain,370,9FH,580,,
9FJ_2017_fall,grefa-spain,5783,9FJ,2166,2017-08-04T08:00:00Z,2017-09-28T15:36:01.920320Z
9FJ_2018_spring,grefa-spain,5783,9FJ,378,,
A75657_2007_fall,terra.natura-spain,75657,A75657,1185,2007-09-08T00:00:00Z,2007-11-20T23:00:00Z
A75657_2008_fall,terra.natura-spain,75657,A75657,1397,2008-09-01T19:00:05.820753Z,2008-12-31T23:00:00Z
A75657_2008_spring,terra.natura-spain,75657,A75657,929,2008-02-27T17:16:12.600820Z,2008-03-21T01:23:46.805612Z
A75657_2009_fall,terra.natura-spain,75657,A75657,1231,2009-09-07T06:00:00Z,2009-10-03T12:06:55.224940Z
A75657_2009_spring,terra.natura-spain,75657,A75657,1013,2009-02-23T01:00:00Z,2009-03-27T11:34:55.827472Z
A75657_2010_fall,terra.natura-spain,75657,A75657,1246,2010-09-05T16:36:12.789914Z,2010-09-30T23:15:15.990807Z
A75657_2010_spring,terra.natura-spain,75657,A75657,1063,2010-03-04T01:00:00Z,2010-03-31T08:32:50.238385Z
A75657_2011_fall,terra.natura-spain,75657,A75657,1082,2011-09-01T02:00:00Z,2011-11-04T23:00:00Z
A75657_2011_spring,terra.natura-spain,75657,A75657,993,2011-02-24T15:48:07.159810Z,2011-03-28T07:45:52.017731Z
A75657_2012_fall,terra.natura-spain,75657,A75657,1360,2012-08-28T02:40:28.574587Z,2012-09-18T07:50:16.171259Z
A75657_2012_spring,terra.natura-spain,75657,A75657,971,2012-02-26T13:00:00Z,2012-03-22T06:34:58.823194Z
A75657_2013_fall,terra.natura-spain,75657,A75657,926,2013-09-09T00:00:00Z,2013-11-04T23:00:00Z
