id.yr.season,study,tag,id,N_locs,start_mig,end_mig
2HN_2015_fall,grefa-spain,137397,2HN,633,2015-07-29T16:00:00Z,2015-11-28T21:08:43.864935Z
2HN_2016_fall,grefa-spain,137397,2HN,1224,,
2HN_2016_spring,grefa-spain,137397,2HN,1211,,
2HN_2017_fall,grefa-spain,137397,2HN,1204,2017-06-27T17:36:47.585662Z,2017-07-09T17:05:00.118501Z
2HN_2017_spring,grefa-spain,137397,2HN,1202,2017-04-27T11:02:39.281144Z,2017-05-28T16:20:39.593632Z
2HN_2018_fall,grefa-spain,137397,2HN,1247,2018-09-01T11:00:00Z,2018-09-27T03:50:35.278174Z
2HN_2018_spring,grefa-spain,137397,2HN,1173,2018-02-21T12:31:47.230082Z,2018-05-10T23:11:38.583846Z
2HP_2016_fall,grefa-spain,48500703772,2HP,233,2016-08-17T13:31:50.394771Z,2016-10-20T04:55:00.761429Z
2HP_2018_fall,grefa-spain,48500703772,2HP,230,2018-08-18T00:51:16.135065Z,2018-11-09T21:08:43.864935Z
2HP_2018_spring,grefa-spain,48500703772,2HP,116,2018-03-26T19:28:32.666476Z,2018-06-14T19:33:23.717745Z
95N_2018_fall,grefa-spain,181641,95N,1946,2018-09-07T09:59:07.812268Z,2018-09-27T16:01:30.019517Z
95P_2018_fall,grefa-spain,6471,95P,1380,2018-09-07T07:00:00Z,2018-11-26T05:35:11.834946Z
95R_2016_fall,grefa-spain,5019,95R,2016,2016-08-29T07:00:00Z,2016-10-15T21:00:00Z
95R_2017_fall,grefa-spain,5019,95R,879,,
95R_2017_spring,grefa-spain,5019,95R,2705,,
95R_2018_spring,grefa-spain,5019,95R,29,,
9FC_2017_fall,grefa-spain,5782,9FC,388,2017-09-06T00:51:16.135065Z,2017-11-28T21:08:43.864935Z
9FH_2017_fall,grefa-spain,370,9FH,3405,2017-08-11T00:00:00Z,2017-11-25T00:56:31.166885Z
9FH_2018_spring,grefa-spain,370,9FH,580,,
9FJ_2017_fall,grefa-spain,5783,9FJ,2166,2017-08-04T08:00:00Z,2017-09-30T18:22:21.009889Z
9FJ_2018_spring,grefa-spain,5783,9FJ,378,,
A75657_2007_fall,terra.natura-spain,75657,A75657,1185,2007-09-08T00:00:00Z,2007-11-20T23:00:00Z
A75657_2008_fall,terra.natura-spain,75657,A75657,1397,2008-08-31T18:24:24.448646Z,2008-12-31T23:00:00Z
A75657_2008_spring,terra.natura-spain,75657,A75657,929,2008-02-26T06:02:26.829845Z,2008-03-22T12:37:32.576586Z
A75657_2009_fall,terra.natura-spain,75657,A75657,1231,2009-09-07T06:00:00Z,2009-10-04T15:18:44.681786Z
A75657_2009_spring,terra.natura-spain,75657,A75657,1013,2009-02-21T20:42:11.418739Z,2009-03-29T13:20:01.555554Z
A75657_2010_fall,terra.natura-spain,75657,A75657,1246,2010-09-04T00:44:23.721863Z,2010-10-02T15:07:05.058858Z
A75657_2010_spring,terra.natura-spain,75657,A75657,1063,2010-03-04T01:00:00Z,2010-04-01T23:51:15.505984Z
A75657_2011_fall,terra.natura-spain,75657,A75657,1082,2011-09-01T02:00:00Z,2011-11-04T23:00:00Z
A75657_2011_spring,terra.natura-spain,75657,A75657,993,2011-02-22T13:51:50.773724Z,2011-03-30T09:42:08.403818Z
A75657_2012_fall,terra.natura-spain,75657,A75657,1360,2012-08-26T17:13:01.146448Z,2012-09-19T17:17:43.599398Z
