id.yr.season,start,end
Blanka_2018_fall,2018-09-02,2018-10-31
Boris_2015_fall,2015-09-14,2015-09-28
Boris_2016_fall,2016-09-24,2016-10-05
Boris_2017_fall,2017-09-22,2017-10-06
Boris_2017_spring,2017-03-01,2017-03-22
Boris_2018_fall,2018-09-22,2018-10-06
Boris_2018_spring,2018-02-27,2018-03-17
Boyana_2018_fall,2018-09-19,2018-10-22
Brieva_2016_fall,2016-09-09,2016-10-06
Cabuk_2015_fall,2015-10-08,2015-10-24
Cabuk_2015_spring,2015-05-28,2015-06-18
Castor_2015_fall,2015-08-11,2015-10-15
Dobromir_2016_fall,2016-08-12,2016-09-25
Ekhi_2018_fall,2018-09-01,2018-09-16
Elodie_2016_fall,2016-09-27,2016-10-18
Gardon_2016_fall,2016-09-09,2016-09-23
Jenny_2015_fall,2015-09-14,2015-10-01
Jenny_2015_fall,2015-09-14,2015-10-01
Jenny_2016_fall,2016-08-19,2016-09-12
Jenny_2017_fall,2017-09-12,2017-09-30
Jenny_2017_spring,2017-03-14,2017-04-15
Jenny_2018_fall,2018-09-10,2018-10-04
Jenny_2018_spring,2018-03-04,2018-03-30
Lidia_2018_fall,2018-08-31,2018-11-16
Logiya_2015_fall,2015-09-08,2015-09-22
Logiya_2015_spring,2015-04-17,2015-06-19
Logiya_2016_fall,2016-09-15,2016-09-26
Logiya_2016_spring,2016-04-17,2016-05-09
Logiya_2017_fall,2017-09-15,2017-09-27
Logiya_2017_spring,2017-04-06,2017-04-28
Logiya_2018_fall,2018-09-06,2018-09-19
Logiya_2018_spring,2018-03-22,2018-04-09
Malysh_2017_fall,2017-09-16,2017-10-02
Orada_2015_fall,2015-08-28,2015-09-21
Orada_2016_fall,2016-09-15,2016-09-29
Orada_2016_spring,2016-05-12,2016-06-05
Ossau_2018_fall,2018-09-01,2018-09-15
Polya_2018_fall,2018-09-27,2018-12-28
Provence_2017_fall,2017-08-14,2017-08-31
Provence_2018_fall,2018-07-19,2018-08-14
Provence_2018_spring,2018-03-09,2018-04-06
Quel_2016_fall,2016-09-02,2016-10-26
Rupis_2016_fall,2016-09-20,2016-10-10
Rupis_2017_spring,2017-04-02,2017-04-18
Sanie_2016_fall,2016-08-21,2016-09-25
Tuzluca_2015_fall,2015-07-30,2015-09-29
Tuzluca_2015_spring,2015-01-28,2015-04-05
Tuzluca_2016_spring,2016-03-14,2016-04-10
Zuri_2017_fall,2017-09-08,2017-09-22
2HN_2015_fall,2015-09-10,2015-10-14
A75657_2007_fall,2007-09-08,2007-09-25
A75657_2008_fall,2008-09-02,2008-09-13
A75657_2008_spring,2008-03-01,2008-03-14
A75657_2009_fall,2009-09-15,2009-10-01
A75657_2009_spring,2009-02-23,2009-03-17
A75657_2010_fall,2010-09-10,2010-09-24
A75657_2010_spring,2010-03-03,2010-03-24
A75657_2011_fall,2011-09-05,2011-09-16
A75657_2011_spring,2011-02-28,2011-03-21
A75657_2012_fall,2012-08-31,2012-09-11
A75657_2012_spring,2012-02-26,2012-03-14
A75657_2013_fall,2013-09-09,2013-09-21
A75657_2013_spring,2013-02-25,2013-03-22
A75658_2009_fall,2009-09-08,2009-10-08
A75659_2009_fall,2009-09-07,2009-09-24
A75659_2010_fall,2010-09-08,2010-09-25
A75659_2010_spring,2010-02-28,2010-03-19
A75659_2011_spring,2011-02-26,2011-03-20
A80419_2008_fall,2008-09-19,2008-10-03
A80419_2009_fall,2009-09-04,2009-09-19
A80419_2009_spring,2009-02-16,2009-03-09
A80419_2010_fall,2010-09-10,2010-09-28
A80419_2010_spring,2010-02-13,2010-03-01
A80419_2011_spring,2011-02-18,2011-03-06
A80420_2009_fall,2009-09-02,2009-09-21
A80420_2010_fall,2010-09-08,2010-09-23
A80420_2010_spring,2010-02-26,2010-03-16
A80420_2011_fall,2011-09-04,2011-09-16
A80420_2011_spring,2011-02-25,2011-03-18
A80420_2012_fall,2012-09-02,2012-09-16
A80420_2012_spring,2012-02-17,2012-03-09
A80420_2013_spring,2013-02-10,2013-03-15
A89730_2009_fall,2009-08-21,2009-09-01
A89730_2010_fall,2010-08-14,2010-08-30
A89730_2010_spring,2010-03-08,2010-03-26
A89730_2011_fall,2011-08-28,2011-09-09
A89730_2011_spring,2011-02-22,2011-03-22
A89730_2012_fall,2012-08-07,2012-08-18
A89730_2012_spring,2012-02-27,2012-03-16
A89730_2013_spring,2013-02-21,2013-03-15
A89731_2009_fall,2009-09-08,2009-09-22
A89731_2010_fall,2010-09-06,2010-09-28
A89731_2010_spring,2010-02-27,2010-03-15
A89731_2011_fall,2011-09-11,2011-09-26
A89731_2011_spring,2011-02-18,2011-03-15
A89731_2012_spring,2012-02-22,2012-03-13
Agri_2013_fall,2013-09-11,2013-09-27
Agri_2014_spring,2014-03-21,2014-04-07
Aoos_2016_spring,2016-03-16,2016-04-18
Aras_2012_fall,2012-09-04,2012-09-23
Arda_2012_fall,2012-09-20,2012-10-14
Ardahan_2013_fall,2013-08-22,2013-09-16
Ardahan_2014_spring,2014-04-10,2014-04-29
Batuecasa_2017_fall,2017-09-13,2017-09-25
Batuecasa_2018_fall,2018-09-21,2018-09-30
Batuecasa_2018_spring,2018-02-14,2018-03-07
Boris_2016_spring,2016-03-01,2016-03-20
Bruco_2017_fall,2017-09-06,2017-09-22
Cabuk_2014_fall,2014-09-08,2014-09-21
Castor_2014_fall,2014-08-22,2014-09-17
Castor_2015_spring,2015-03-07,2015-04-05
Dobromir_2012_fall,2012-09-08,2012-10-31
Dobromir_2014_fall,2014-07-30,2014-10-02
Dobromir_2014_spring,2014-04-18,2014-06-03
Dobromir_2015_fall,2015-08-22,
Dobromir_2015_spring,2015-04-30,2015-05-15
Dobromir_2016_spring,2016-05-01,2016-05-30
Douro_2017_fall,2017-08-28,2017-09-09
Douro_2018_fall,2018-08-29,2018-09-17
Douro_2018_spring,2018-02-03,2018-02-25
Faia_2017_fall,2017-08-23,2017-09-05
Faia_2018_spring,2018-02-25,2018-03-17
Haydi_2014_fall,2014-09-19,2014-10-29
Huebra_2017_fall,2017-09-20,2017-10-06
Huebra_2018_fall,2018-09-26,2018-10-16
Huebra_2018_spring,2018-02-09,2018-02-26
Igdir_2012_fall,2012-09-20,2012-10-11
Igdir_2013_fall,2013-09-25,2013-10-13
Igdir_2013_spring,2013-03-16,2013-04-03
Igdir_2014_fall,2014-10-06,2014-11-03
Igdir_2014_spring,2014-03-03,2014-03-22
Iliaz_2012_fall,2012-09-19,2012-10-16
Iliaz_2016_spring,2016-03-17,2016-05-09
Iste_2014_fall,2014-09-19,2014-10-03
Jenny_2016_spring,2016-03-16,2016-04-16
Lazaros_2013_spring,2013-03-08,2013-03-31
Lazaros_2012_fall,2012-09-01,2012-09-22
Levkipos_2012_fall,2012-09-10,2012-10-14
Logiya_2014_fall,2014-08-23,2014-09-10
Logiya_2014_spring,2014-05-20,2014-06-15
Paschalis_2013_fall,2013-09-08,2013-09-26
Poiares_2017_fall,2017-09-22,2017-10-06
Rupis_2017_fall,2017-09-14,2017-09-29
Rupis_2018_fall,2018-09-22,2018-10-13
Rupis_2018_spring,2018-03-19,2018-04-01
Sanie_2013_fall,2013-09-18,2013-10-09
Sanie_2015_fall,2015-07-20,
Sanie_2015_spring,2015-05-04,2015-06-18
Sanie_2016_spring,2016-04-13,2016-05-13
Serhat_2014_fall,2014-09-20,2014-10-08
Spartacus_2010_fall,2010-09-13,2010-11-12
Svetlina_2012_fall,2012-09-07,2012-11-05
Tuzluca_2013_fall,2013-08-23,2013-10-10
Tuzluca_2014_fall,2014-09-06,2014-09-26
Tuzluca_2014_spring,2014-04-07,2014-04-29
Volen_2012_fall,2012-09-05,2012-09-26
Volen_2014_spring,2014-04-29,2014-06-26
Faia_fall_2018,2018-08-31,2018-09-06
Camaces_fall_2017,2017-09-03,2017-09-12
Arpacai_fall_2012,2012-08-31,2012-09-26
Ikaros_fall_2012,2012-08-28,2012-09-14
Asparuh_fall_2013,2013-09-03,2013-09-14
Berenice_fall_2013,2013-08-30,2013-09-12
Heracles_fall_2013,2013-09-06,2013-09-14
Ibrahim_fall_2013,2013-09-06,2013-09-26
Ilina_fall_2013,2013-09-18,2013-10-04
Katerina_fall_2013,2013-09-13,2013-12-10
Redcliff_fall_2013,2013-09-14,2013-09-22
Ardahan_fall_2014,2014-09-05,2014-09-18
Volen_fall_2014,2014-09-20,2014-09-29
Armenia2_2015_fall,2015-08-31,2015-10-11
Orada_2016_fall,2015-03-15,2015-04-02
Tuzluca_2015_spring,2015-03-15,2015-04-02
Iste_2015_spring,2015-04-14,2015-04-29
Logiya_2015_spring,2015-04-17,2015-05-02
Cabuk_2015_spring,2015-05-28,2015-06-18
Orada_2015_fall,2015-08-28,2015-09-27
Tuzluca_2015_fall,2015-08-28,2015-09-27
Armenia2_2015_fall,2015-08-31,2015-10-11
Logiya_2015_fall,2015-09-08,2015-09-21
Iste_2015_fall,2015-09-17,2015-09-29
Armenia3_2015_fall,2015-09-20,2015-10-09
Cabuk_2015_fall,2015-10-06,2015-10-27
Orada_2016_spring,2016-03-14,2016-04-15
Tuzluca_2016_spring,2016-03-14,2016-04-15
Iste_2016_spring,2016-03-22,2016-04-08
Logiya_2016_spring,2016-04-16,2016-05-09
Logiya_2016_fall,2016-09-15,2016-09-27
Iste_2016_fall,2016-09-25,2016-10-09
Iste_2017_spring,2017-03-13,2017-03-30
Logiya_2017_spring,2017-04-06,2017-04-28
Logiya_2017_fall,2017-09-15,2017-09-27
Iste_2017_fall,2017-09-24,2017-10-09
Iste_2018_spring,2018-03-16,2018-03-31
Logiya_2018_spring,2018-03-22,2018-04-09
Logiya_2018_fall,2018-09-06,2018-09-19
Iste_2018_fall,2018-09-16,2018-09-28
Iliaz_2016_fall,2016-08-26,2016-10-17
Iliaz_2017_spring,2017-04-06,2017-04-30
Iliaz_2017_fall,2017-09-01,2017-10-02
Iliaz_2018_spring,2018-03-16,2018-04-21
Iliaz_2018_fall,2018-08-27,2018-09-21
J4107_2018_fall,2018-08-28,2018-09-09
