ID,total distance,cumulative distance,straightness,msd,intensity use,sinuosity,tac,start,end,time duration (days),julian_start,julian_end
A89730_2013_spring,2666340.56165914,2963096.6800324,0.899849329799792,848945054473.927,3.54112319633452,0.000229627417155271,7.46058124965132e-07,2013-02-21 01:00:00,2013-03-15 01:00:00,22,52,74
A89731_2009_fall,2504609.34229792,3051759.7480042,0.820709868768631,750128160932.824,3.33336886404145,0.000279489933522206,1.20365124062255e-07,2009-09-08 02:00:00,2009-09-22 02:00:00,14,251,265
A89731_2010_fall,2537952.87961821,3166361.85171386,0.801535957820009,677752483055.764,3.64844667293252,0.000339943798882668,3.57148822313196e-07,2010-09-06 02:00:00,2010-09-28 02:00:00,22,249,271
A89731_2010_spring,2736436.50351552,3111973.32241692,0.879325180522517,777830520649.524,3.99934566650467,0.000706050004703385,2.66019198269212e-08,2010-02-27 01:00:00,2010-03-15 01:00:00,16,58,74
A89731_2011_fall,2780811.01825042,3093886.57470669,0.898808327682165,868109882261,3.9920237871422,0.000582417319275234,2.98789304369713e-07,2011-09-11 02:00:00,2011-09-26 02:00:00,15,254,269
A89731_2011_spring,2819253.70938779,3806072.91638541,0.74072509153745,948026334278.171,3.31554887307964,0.00093531954525244,2.77619179491418e-07,2011-02-18 01:00:00,2011-03-15 01:00:00,25,49,74
A89731_2012_spring,2852979.08091578,3461631.26131553,0.824171861630217,766168919315.256,3.55264268635358,0.00069126211372432,4.03429079907304e-08,2012-02-22 01:00:00,2012-03-13 01:00:00,20,53,73
Agri_2013_fall,4493695.12154966,5296548.94745621,0.848419445591617,1876572756319.22,4.49120019478894,0.00049223435201386,6.23172306032702e-07,2013-09-11 00:00:00,2013-09-27 23:00:00,16.9583333333333,254,270
Agri_2014_spring,4560508.91397221,6251532.7339764,0.729502524906626,2086040029179.74,3.24458807336416,0.00123725341103302,7.51300256023972e-07,2014-03-21 00:00:00,2014-04-07 23:00:00,17.9583333333333,80,97
Amud_2018_fall,2993095.01929633,6045259.99255653,0.495114357857511,280712051114.598,9.5274869288944,0.000374508123672664,7.40742258865157e-07,2018-09-18 05:00:00,2018-11-13 18:00:00,56.5416666666667,261,317
Aoos_2015_fall,3194896.95016729,7232630.05640452,0.441733771152611,2366104428975.55,3.43628683840004,0.000207232228003472,9.01922548177587e-07,2015-09-04 00:00:00,2015-10-01 22:00:00,27.9166666666667,247,274
Aoos_2016_fall,3202527.97994956,6273891.351686,0.510453210046255,1695011639665.99,3.03335743813925,0.00106980795218433,6.71777410856913e-07,2016-09-21 00:00:00,2016-10-09 22:00:00,18.9166666666667,265,283
Aoos_2016_spring,3558359.28361212,7339760.06639764,0.484805940714976,1791999862380.99,3.81815530010262,0.000591909572042591,6.90205814204627e-07,2016-03-16 05:00:00,2016-04-18 13:00:00,33.3333333333333,76,109
Aoos_2017_fall,3194934.22069928,6446228.39849508,0.495628454841154,2243788469598.71,3.17266237983205,0.000897867079680381,8.86800192805608e-07,2017-09-13 10:00:00,2017-10-04 22:00:00,21.5,256,277
Aoos_2017_spring,3193134.5924622,8619325.01034008,0.370462256456462,1875578219294.94,3.98619355477329,0.000528559056237967,9.01700966240133e-07,2017-03-08 03:00:00,2017-04-13 18:00:00,36.625,67,103
Aoos_2018_fall,3063018.80256064,6381476.99270316,0.479985872559443,1566725214778.57,3.1932592169343,0.000297238433741889,8.66058764474171e-07,2018-08-13 16:00:00,2018-09-04 22:00:00,22.25,225,247
Aoos_2018_spring,3218787.13922248,7317031.09512164,0.439903438618497,1849893544574.53,3.57868091353411,0.000194557983468811,7.39308477415283e-07,2018-03-04 05:00:00,2018-04-05 06:00:00,32.0416666666667,63,95
Aras_2012_fall,3853778.77986959,5088693.32372978,0.757321877091415,1335246290996.02,3.51983701648647,0.000985613197584786,6.21078725724403e-07,2012-09-04 00:00:00,2012-09-23 22:00:00,19.9166666666667,248,267
Arda_2012_fall,3464250.06438108,6073638.94937815,0.570374711643959,1197481479014.8,3.72390266889035,0.000216218473719246,8.5061295650476e-07,2012-09-20 05:00:00,2012-10-14 23:00:00,24.75,264,288
Ardahan_2013_fall,4267712.62632451,5725883.06373574,0.745337021175582,2326462277804.52,4.66172495886869,0.000661302706419362,8.57482419463853e-07,2013-08-22 00:00:00,2013-09-16 14:00:00,25.5833333333333,234,259
Ardahan_2014_spring,4220297.55844031,6421626.45169745,0.657200724798426,1558668213761.03,3.67946604270344,0.000240901603084448,5.96958897873518e-07,2014-04-10 00:00:00,2014-04-29 23:00:00,19.9583333333333,100,119
Armenia2_2015_fall,4693774.51201913,7031822.48861791,0.66750469307448,1675722508089.6,5.35038010423571,0.00035297922893167,7.41606498749984e-07,2015-08-31 00:00:00,2015-10-11 21:00:00,41.875,243,284
Armenia3_2015_fall,4838648.93923551,5278825.82371398,0.91661462242208,2067628229557.67,4.53556567661473,0.000410653489021413,9.14052565764706e-07,2015-09-20 00:00:00,2015-10-09 21:00:00,19.875,263,282
Arpacay_2012_fall,1305547.50670526,1827896.10428369,0.714235072576442,139588650170.679,3.50100252043378,0.000489975791326924,9.5203178703376e-07,2012-08-29 04:00:00,2012-09-26 20:00:00,28.6666666666667,242,270
Asparuh_2013_fall,1007719.99495895,1589166.48677764,0.634118579358106,117663771704.494,3.53168840802069,0.000233417902796043,7.19877545671319e-07,2013-09-04 05:00:00,2013-09-10 22:00:00,6.70833333333333,247,253
Batuecasa_2017_fall,2686258.02022694,3218783.08671408,0.834557019798819,725279258054.509,3.81875774630393,0.000533185091836509,6.47698159983824e-07,2017-09-13 01:00:00,2017-09-25 21:00:00,12.8333333333333,256,268
Batuecasa_2018_fall,2727475.04287852,3207470.9424555,0.850350663127279,913906913628.444,3.77017215045123,0.000250625834501486,3.75559468602499e-07,2018-09-21 06:00:00,2018-09-30 21:00:00,9.625,264,273
Batuecasa_2018_spring,2660859.58343565,3357409.71661399,0.792533473132133,846391522974.123,3.7741316961126,0.000649186423782344,8.00146100884406e-07,2018-02-14 02:00:00,2018-03-07 20:00:00,21.75,45,66
Belgin_2018_fall,748554.832547232,897804.130857955,0.833761849404615,55601912874.4675,3.79417370827352,0.00271638997133974,7.98639940024241e-07,2018-09-14 02:00:00,2018-09-17 23:00:00,3.875,257,260
Berenice_2013_fall,801595.202867572,1476652.57675301,0.542846174846481,54114334698.3841,4.59485775482488,0.00179278250972837,7.28439257188533e-07,2013-08-30 00:00:00,2013-09-12 17:00:00,13.7083333333333,242,255
Boris_2015_fall,4340233.17790345,5650123.66900638,0.76816604948166,2026951086623.11,3.62063768138757,0.00249512396738863,6.4978452591658e-07,2015-09-14 05:00:00,2015-09-28 22:00:00,14.7083333333333,257,271
Boris_2016_fall,4399277.66645614,5440475.37487565,0.808620086173387,1945645101524.84,3.88839209225163,0.000343409974589149,7.10157672007754e-07,2016-09-24 05:00:00,2016-10-05 22:00:00,11.7083333333333,268,279
Boris_2016_spring,4558259.25744398,5751413.18786749,0.792545954976692,2148467830503.01,3.61111635366746,0.000573938800612511,8.52870652173968e-07,2016-03-01 03:00:00,2016-03-20 22:00:00,19.7916666666667,61,80
Boris_2017_fall,4592746.62835282,5912827.14603952,0.776742920927274,2060655294021.89,3.59996800568096,0.000151215427748773,6.53840714931922e-07,2017-09-22 05:00:00,2017-10-06 22:00:00,14.7083333333333,265,279
Boris_2017_spring,4558379.912089,6453166.67914585,0.706378765454786,2306713534019.84,3.94654258272682,0.000556925956748823,9.36270576144842e-07,2017-03-01 03:00:00,2017-03-22 22:00:00,21.7916666666667,60,81
Boris_2018_fall,4603541.34328888,5939180.98838041,0.775113833421711,2207945125995.75,3.61000239160361,0.00198811239564673,6.77597252120491e-07,2018-09-22 05:00:00,2018-10-06 22:00:00,14.7083333333333,265,279
Boris_2018_spring,4602350.97774838,6093585.94404127,0.755277929943514,2267765749022.76,3.70570528299163,0.00220347541752589,9.58962464712071e-07,2018-02-27 03:00:00,2018-03-17 22:00:00,18.7916666666667,58,76
Brieva_2016_fall,3022677.81441871,3841962.25207609,0.786753647250265,706889259491.663,5.07289071976639,0.0011712668926162,7.95645646386293e-07,2016-09-09 06:00:00,2016-10-06 22:00:00,27.6666666666667,253,280
Bruco_2017_fall,2665661.94606987,3451105.89758413,0.772408041125573,940735775501.124,4.06578130576377,0.00104564130252316,5.49762778327642e-07,2017-09-06 08:00:00,2017-09-22 20:00:00,16.5,249,265
Cabuk_2014_fall,4013388.78702695,4792213.32164239,0.837481246692808,1773138275701.77,4.41459594769983,0.000376823374943087,5.55660269304126e-07,2014-09-08 05:00:00,2014-09-21 21:00:00,13.6666666666667,251,264
Cabuk_2015_fall,4145200.64699714,5300018.2858559,0.782110631214121,1737986576916.25,3.87565323165696,0.00132821569748286,5.16113634369299e-07,2015-10-06 05:00:00,2015-10-27 17:00:00,21.5,279,300
Cabuk_2015_spring,3809929.75800317,5604520.90252321,0.679795797761751,1141604884611.27,4.09462191057651,0.00185086832693955,6.64845217741229e-07,2015-05-28 09:00:00,2015-06-18 21:00:00,21.5,148,169
Camaces_2017_fall,949546.100800383,1378458.10431536,0.688846543705438,68605857152.4814,4.47312601912717,0.000354448986656244,5.16587465701833e-07,2017-09-07 01:00:00,2017-09-11 22:00:00,4.875,250,254
Castor_2014_fall,4567642.77594074,6691898.34238026,0.682563084829538,2204181800017.04,4.09328909954119,0.000547898870433771,8.58813159517457e-07,2014-08-22 05:00:00,2014-09-17 22:00:00,26.7083333333333,234,260
Castor_2015_fall,5116633.37745311,11150582.7593457,0.458866903002416,3102212932078.63,5.44403104586888,0.0015121260184012,1.02842505793368e-06,2015-08-11 05:00:00,2015-10-15 22:00:00,65.7083333333333,223,288
